Variety,Rep,RGR,[P] 10/17,[NO3] 10/17,[NH4] 10/17,[DIN] 10/17,Virus damage,sW2O,SLA,Origin,Average RGR,Average SLA
Brew,2,0.025641122,257.2315408,6.458325128,106.2506229,112.708948,10.58278891,2.208950617,250.9526316,U,0.024787418,215.5593158
Brew,5,0.023933713,928.6775454,25.00871845,4.189608045,29.19832649,12.13990793,3.133149679,180.166,U,,
Colu,6,0.033277889,445.009235,15.59747304,252.7843043,268.3817774,19.63392152,1.467602339,220.3953488,U,0.035826447,258.6653215
Colu,10,0.038375005,465.7108009,15.07922878,105.5796703,120.658899,20.75389948,0.626502111,296.9352941,U,,
Come,1,0.03700223,496.7848236,43.57582131,428.9884618,472.5642831,51.8820108,1.825437841,209.6160714,U,0.038025069,220.5499276
Come,6,0.039047907,278.1067577,37.06730669,59.22384374,96.29115043,45.24707361,0.234879032,231.4837838,U,,
Fugg,5,0.042637285,475.1962868,8.279498213,145.7108152,153.9903134,34.03475072,1.545477514,252.2818182,NU,0.038984012,251.5721591
Fugg,7,0.035330738,528.2219731,8.082593466,155.5278055,163.6103989,19.17373789,1.140871762,250.8625,NU,,
Hall,2,0.015277189,690.1719484,6.085557489,111.5611991,117.6467565,5.076443521,2.63433908,392.38,NU,0.014469806,325.9581818
Hall,5,0.013662423,1284.314407,9.781586366,121.4338392,131.2154256,12.35632184,3.80046729,259.5363636,NU,,
Neo,6,0.034757326,324.3815759,65.79648908,206.2605422,272.0570313,19.7710718,0.274643362,190.3645161,U,0.037216374,219.0191433
Neo,9,0.039675422,394.5442774,133.4381997,309.481586,442.9197857,17.67355331,0.176184409,247.6737705,U,,
Sazz,4,0.043260291,434.1074495,32.32521596,224.2788115,256.6040275,51.09544195,1.672969374,240.6093023,NU,0.041361595,237.4671512
Sazz,10,0.039462898,632.8593947,36.70046536,181.2126497,217.9131151,7.961783439,1.031857578,234.325,NU,,
Sora,1,0.013130687,481.1916502,48.92938485,4.399679789,53.32906464,27.74001193,2.220959596,247.2458333,NU,0.015340064,272.9208333
Sora,7,0.017549441,354.9642341,8.524369544,70.68974031,79.21410986,48.69696058,0.475782634,298.5958333,NU,,
Sout,4,0.024872991,939.385137,21.61148137,23.72967901,45.34116038,10.58791753,2.636205092,218.3711111,NU,0.026579087,236.5080556
Sout,5,0.028285182,806.2706102,69.78220946,130.1617211,199.9439306,10.9392347,2.579710145,254.645,NU,,
Zeus,2,0.029069813,757.9983538,0.474204673,0.47029406,0.944498734,8.472616926,2.694785785,196.1163636,U,0.028270297,204.8338229
Zeus,8,0.027470781,349.3889528,10.27111565,78.37338856,88.6445042,32.01502171,0.69169387,213.5512821,U,,
