sample_id,seq1513 Acidibacter;sp65543,seq510 Acidibacter;sp65543,seq1388 Acidibacter;sp65543,seq50 Acidibacter;sp65543,seq198 Acidibacter;sp65543,seq255 Acidibacter;sp65540,seq1713 Acidibacter;sp65540,seq368 Acidibacter;sp65533,seq898 Acidibacter;sp65533,seq2827 Acidibacter;sp65533,seq3442 Acidibacter;sp65533,seq417 Acidibacter;sp65533,seq5088 Acidibacter;sp65533,seq45 Acidibacter;sp65533,seq68 Acidibacter;sp65533,seq129 Acidibacter;sp65540,seq2899 Acidibacter;sp65532,seq1496 Acidibacter;sp65540,seq18 Acidibacter;sp65538-sp65540,seq722 Acidibacter;sp65538-sp65540,seq2132 Acidibacter;sp65530,seq277 Acidibacter;sp65539,seq1030 Acidibacter;sp65532-sp65606,seq4346 Acidibacter;sp65532,seq6126 Acidibacter;sp65539,seq2397 Acidibacter;sp65533,seq5939 Acidibacter;sp65533,seq6682 Acidibacter;sp65537,seq1234 Acidibacter;sp65537,seq2926 Acidibacter;sp65537,seq4684 Acidibacter;sp65537,seq682 Acidibacter;sp65535,seq6176 Acidibacter;sp65535,seq6362 Acidibacter;sp65535,seq1072 Acidibacter;sp65535,seq1789 Acidibacter;sp65535,seq1798 Acidibacter;sp65535
Control.CSUSM,57,50,82,698,250,137,0,152,28,0,48,299,0,963,715,235,0,0,1227,53,29,210,17,0,0,0,14,0,0,0,0,19,0,0,0,0,0
Zeus.CSUSM,25,24,0,596,53,81,0,285,29,0,0,62,0,465,885,298,0,27,1170,95,0,310,33,0,0,0,0,0,18,0,0,17,0,0,51,0,0
Brewers.Gold.CSUSM,39,81,79,1475,220,93,0,165,67,0,0,97,0,796,415,103,0,0,875,60,14,271,0,0,0,25,0,0,0,0,0,40,0,0,0,0,0
Neo1.CSUSM,32,30,0,463,102,71,0,128,17,0,0,54,0,296,360,82,0,0,462,0,24,94,35,0,0,0,0,0,0,0,0,109,0,0,47,0,158
Comet.CSUSM,16,86,0,952,552,383,48,112,119,42,0,88,0,641,565,874,0,167,1762,64,0,0,0,0,0,12,0,0,298,68,0,182,0,0,29,0,0
Columbus.CSUSM,0,77,0,697,135,215,0,121,25,0,0,140,0,794,563,721,69,0,1440,0,0,195,20,0,0,23,0,0,0,0,0,52,0,0,0,0,0
Saaz72.CSUSM,40,91,0,569,425,94,0,67,0,0,0,0,20,729,436,189,0,0,628,0,0,96,61,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Sorachi.Ace.CSUSM,24,51,0,372,110,234,107,97,66,31,0,63,0,1000,722,303,0,22,2075,303,27,393,48,0,0,0,0,0,0,0,0,29,0,0,118,53,0
Southern.Cross.CSUSM,0,108,0,506,115,209,31,180,72,0,0,80,0,479,346,125,0,0,828,49,0,53,38,29,13,14,0,11,0,0,0,153,13,0,36,0,0
Hallertauer.CSUSM,0,41,106,501,201,344,0,57,43,0,0,35,0,709,446,291,0,0,938,0,0,72,80,0,0,25,0,0,0,0,0,13,0,12,53,80,0
Fuggle.UK,0,388,0,243,371,234,0,88,46,0,0,347,0,712,269,166,0,22,817,63,29,190,95,0,0,0,0,0,0,0,24,96,0,0,66,38,12
