sample_id,seq18 Acidibacter;sp65538-sp65540,seq45 Acidibacter;sp65533,seq50 Acidibacter;sp65543,seq68 Acidibacter;sp65533,seq129 Acidibacter;sp65540,seq198 Acidibacter;sp65543,seq255 Acidibacter;sp65540,seq277 Acidibacter;sp65539,seq368 Acidibacter;sp65533,seq417 Acidibacter;sp65533,seq510 Acidibacter;sp65543,seq722 Acidibacter;sp65538-sp65540,seq682 Acidibacter;sp65535,seq898 Acidibacter;sp65533,seq1072 Acidibacter;sp65535,seq1030 Acidibacter;sp65532-sp65606,seq1234 Acidibacter;sp65537,seq1388 Acidibacter;sp65543,seq1496 Acidibacter;sp65540,seq1798 Acidibacter;sp65535,seq1713 Acidibacter;sp65540,seq1789 Acidibacter;sp65535,seq1513 Acidibacter;sp65543,seq2132 Acidibacter;sp65530,seq2397 Acidibacter;sp65533,seq2926 Acidibacter;sp65537,seq2827 Acidibacter;sp65533,seq2899 Acidibacter;sp65532,seq3442 Acidibacter;sp65533,seq4684 Acidibacter;sp65537,seq4346 Acidibacter;sp65532,seq6362 Acidibacter;sp65535,seq6126 Acidibacter;sp65539,seq6176 Acidibacter;sp65535,seq5939 Acidibacter;sp65533,seq6682 Acidibacter;sp65537,seq5088 Acidibacter;sp65533
Control.CSUSM,0.0042,0.0033,0.0024,0.0024,0.0008,0.0008,0.0004,0.0007,0.0005,0.001,0.0001,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0053,0.0021,0.0027,0.004,0.0013,0.0002,0.0003,0.0014,0.0013,0.0002,0.0001,0.0004,0,0.0001,0.0002,0.0001,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0039,0.0035,0.0065,0.0018,0.0004,0.0009,0.0004,0.0012,0.0007,0.0004,0.0003,0.0002,0.0001,0.0002,0,0,0,0.0003,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.002,0.0013,0.0021,0.0016,0.0003,0.0004,0.0003,0.0004,0.0005,0.0002,0.0001,0,0.0004,0,0.0002,0.0001,0,0,0,0.0007,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0067,0.0024,0.0036,0.0021,0.0033,0.0021,0.0014,0,0.0004,0.0003,0.0003,0.0002,0.0006,0.0004,0.0001,0,0.0011,0,0.0006,0,0.0001,0,0,0,0,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0059,0.0032,0.0028,0.0023,0.0029,0.0005,0.0008,0.0007,0.0004,0.0005,0.0003,0,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.003,0.0035,0.0027,0.0021,0.0009,0.002,0.0004,0.0004,0.0003,0,0.0004,0,0,0,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0077,0.0037,0.0013,0.0027,0.0011,0.0004,0.0008,0.0014,0.0003,0.0002,0.0001,0.0011,0.0001,0.0002,0.0004,0.0001,0,0,0,0,0.0004,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0037,0.0021,0.0022,0.0015,0.0005,0.0005,0.0009,0.0002,0.0008,0.0003,0.0004,0.0002,0.0006,0.0003,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0
Hallertauer.CSUSM,0.0037,0.0028,0.002,0.0017,0.0011,0.0008,0.0013,0.0002,0.0002,0.0001,0.0001,0,0,0.0001,0.0002,0.0003,0,0.0004,0,0,0,0.0003,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0.0042,0.0036,0.0012,0.0013,0.0008,0.0019,0.0012,0.0009,0.0004,0.0018,0.002,0.0003,0.0004,0.0002,0.0003,0.0004,0,0,0.0001,0,0,0.0001,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0
