Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1513 Acidibacter;sp65543	0.0001	0.0001	0.0001	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq510 Acidibacter;sp65543	0.0001	0.0001	0.0003	0.0001	0.0003	0.0003	0.0004	0.0001	0.0004	0.0001	0.002
seq1388 Acidibacter;sp65543	0.0002	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06
seq50 Acidibacter;sp65543	0.0024	0.0027	0.0065	0.0021	0.0036	0.0028	0.0027	0.0013	0.0022	0.002	0.0012
seq198 Acidibacter;sp65543	0.0008	0.0002	0.0009	0.0004	0.0021	0.0005	0.002	0.0004	0.0005	0.0008	0.0019
seq255 Acidibacter;sp65540	0.0004	0.0003	0.0004	0.0003	0.0014	0.0008	0.0004	0.0008	0.0009	0.0013	0.0012
seq1713 Acidibacter;sp65540	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0004	0.0001	1e-06	1e-06
seq368 Acidibacter;sp65533	0.0005	0.0013	0.0007	0.0005	0.0004	0.0004	0.0003	0.0003	0.0008	0.0002	0.0004
seq898 Acidibacter;sp65533	1e-06	0.0001	0.0002	1e-06	0.0004	0.0001	1e-06	0.0002	0.0003	0.0001	0.0002
seq2827 Acidibacter;sp65533	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq3442 Acidibacter;sp65533	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq417 Acidibacter;sp65533	0.001	0.0002	0.0004	0.0002	0.0003	0.0005	1e-06	0.0002	0.0003	0.0001	0.0018
seq5088 Acidibacter;sp65533	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq45 Acidibacter;sp65533	0.0033	0.0021	0.0035	0.0013	0.0024	0.0032	0.0035	0.0037	0.0021	0.0028	0.0036
seq68 Acidibacter;sp65533	0.0024	0.004	0.0018	0.0016	0.0021	0.0023	0.0021	0.0027	0.0015	0.0017	0.0013
seq129 Acidibacter;sp65540	0.0008	0.0013	0.0004	0.0003	0.0033	0.0029	0.0009	0.0011	0.0005	0.0011	0.0008
seq2899 Acidibacter;sp65532	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq1496 Acidibacter;sp65540	1e-06	0.0001	1e-06	1e-06	0.0006	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq18 Acidibacter;sp65538-sp65540	0.0042	0.0053	0.0039	0.002	0.0067	0.0059	0.003	0.0077	0.0037	0.0037	0.0042
seq722 Acidibacter;sp65538-sp65540	0.0001	0.0004	0.0002	1e-06	0.0002	1e-06	1e-06	0.0011	0.0002	1e-06	0.0003
seq2132 Acidibacter;sp65530	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001
seq277 Acidibacter;sp65539	0.0007	0.0014	0.0012	0.0004	1e-06	0.0007	0.0004	0.0014	0.0002	0.0002	0.0009
seq1030 Acidibacter;sp65532-sp65606	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	0.0002	0.0001	0.0001	0.0003	0.0004
seq4346 Acidibacter;sp65532	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq6126 Acidibacter;sp65539	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2397 Acidibacter;sp65533	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq5939 Acidibacter;sp65533	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6682 Acidibacter;sp65537	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1234 Acidibacter;sp65537	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2926 Acidibacter;sp65537	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4684 Acidibacter;sp65537	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq682 Acidibacter;sp65535	1e-06	1e-06	0.0001	0.0004	0.0006	0.0002	1e-06	0.0001	0.0006	1e-06	0.0004
seq6176 Acidibacter;sp65535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6362 Acidibacter;sp65535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1072 Acidibacter;sp65535	1e-06	0.0002	1e-06	0.0002	0.0001	1e-06	1e-06	0.0004	0.0001	0.0002	0.0003
seq1789 Acidibacter;sp65535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0003	0.0001
seq1798 Acidibacter;sp65535	1e-06	1e-06	1e-06	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
