sample_id,seq54 Actinomadura;bangladeshensis-meyerae,seq2286 Actinomadura;madurae-mexicana,seq249 Actinomadura;bangladeshensis-meyerae,seq790 Actinomadura;bangladeshensis,seq6738 Actinomadura;bangladeshensis,seq6462 Actinomadura;yumaensis,seq6382 Actinomadura;NA,seq5907 Actinomadura;cremea,seq20 Actinomadura;nitritigenes,seq741 Actinomadura;nitritigenes,seq2389 Actinomadura;NA,seq3079 Actinomadura;chibensis-chokoriensis-nitritigenes,seq4370 Actinomadura;chibensis-chokoriensis-macra,seq5426 Actinomadura;chibensis-chokoriensis,seq1392 Actinomadura;chibensis-chokoriensis,seq6313 Actinomadura;chibensis-chokoriensis-macra,seq5109 Actinomadura;macra,seq5506 Actinomadura;keratinilytica,seq6391 Actinomadura;hallensis,seq6473 Actinomadura;livida,seq5730 Actinomadura;hallensis,seq6656 Actinomadura;hallensis
Control.CSUSM,640,0,204,68,0,12,0,0,3449,0,0,0,0,0,24,0,0,0,0,0,0,0
Zeus.CSUSM,689,0,263,84,0,0,0,0,746,0,0,0,0,17,58,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,455,0,370,77,0,0,0,0,503,111,0,0,0,0,40,0,0,0,0,12,0,0
Neo1.CSUSM,574,0,172,56,0,0,0,0,236,135,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,1414,0,0,95,0,0,0,0,374,156,44,0,0,0,79,0,0,16,12,0,0,0
Columbus.CSUSM,628,0,138,97,0,0,0,14,829,0,0,60,0,0,26,0,0,0,0,0,0,0
Saaz72.CSUSM,509,0,226,24,0,0,0,0,801,0,0,0,0,0,15,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,377,109,225,49,11,0,12,0,2455,151,55,0,0,0,0,0,20,0,0,0,15,11
Southern.Cross.CSUSM,304,0,243,25,0,0,0,0,554,0,0,0,0,0,25,0,0,0,0,0,0,0
Hallertauer.CSUSM,625,0,153,18,0,0,0,0,291,110,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,358,0,154,18,0,0,0,0,1554,0,0,0,28,0,0,12,0,0,0,0,0,0
