Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq54 Actinomadura;bangladeshensis-meyerae	0.0022	0.0031	0.002	0.0026	0.0054	0.0025	0.0024	0.0014	0.0013	0.0025	0.0018
seq2286 Actinomadura;madurae-mexicana	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06
seq249 Actinomadura;bangladeshensis-meyerae	0.0007	0.0012	0.0016	0.0007	1e-06	0.0005	0.0011	0.0008	0.0011	0.0006	0.0007
seq790 Actinomadura;bangladeshensis	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0001	0.0001	0.0001	1e-06	1e-06
seq6738 Actinomadura;bangladeshensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6462 Actinomadura;yumaensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6382 Actinomadura;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5907 Actinomadura;cremea	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq20 Actinomadura;nitritigenes	0.012	0.0034	0.0022	0.001	0.0014	0.0033	0.0039	0.0092	0.0025	0.0011	0.008
seq741 Actinomadura;nitritigenes	1e-06	1e-06	0.0004	0.0006	0.0005	1e-06	1e-06	0.0005	1e-06	0.0004	1e-06
seq2389 Actinomadura;NA	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06
seq3079 Actinomadura;chibensis-chokoriensis-nitritigenes	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq4370 Actinomadura;chibensis-chokoriensis-macra	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq5426 Actinomadura;chibensis-chokoriensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1392 Actinomadura;chibensis-chokoriensis	1e-06	0.0002	0.0001	1e-06	0.0003	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06
seq6313 Actinomadura;chibensis-chokoriensis-macra	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5109 Actinomadura;macra	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5506 Actinomadura;keratinilytica	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6391 Actinomadura;hallensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6473 Actinomadura;livida	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5730 Actinomadura;hallensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6656 Actinomadura;hallensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
