sample_id,seq4549 Bacillus;mojavensis-subtilis-tequilensis,seq6209 Bacillus;NA,seq3408 Bacillus;NA,seq1585 Bacillus;aquimaris-marisflavi,seq4401 Bacillus;NA,seq6029 Bacillus;oceanisediminis,seq6507 Bacillus;firmus-oceanisediminis,seq2751 Bacillus;firmus-oceanisediminis,seq4550 Bacillus;sp25535,seq3300 Bacillus;sp25535,seq3686 Bacillus;sp25535,seq6566 Bacillus;sp25842,seq4825 Bacillus;sp25842,seq3126 Bacillus;NA,seq3623 Bacillus;NA,seq6294 Bacillus;nealsonii,seq6401 Bacillus;sp25896,seq3026 Bacillus;nealsonii,seq4204 Bacillus;benzoevorans-nealsonii,seq4521 Bacillus;benzoevorans-nealsonii,seq1369 Bacillus;benzoevorans-nealsonii,seq5519 Bacillus;benzoevorans,seq2379 Bacillus;megaterium,seq442 Bacillus;flexus-megaterium,seq703 Bacillus;aryabhattai-flexus-megaterium,seq6511 Bacillus;ginsengihumi,seq6847 Bacillus;sp25917,seq161 Bacillus;ginsengihumi,seq4397 Bacillus;sp25854,seq1627 Bacillus;smithii,seq1668 Bacillus;smithii,seq817 Bacillus;subtilis-thermotolerans,seq5655 Bacillus;fordii,seq400 Bacillus;coagulans,seq6726 Bacillus;humi,seq4368 Bacillus;humi,seq2524 Bacillus;humi,seq2987 Bacillus;humi,seq6083 Bacillus;sp25934,seq3590 Bacillus;circulans,seq1935 Bacillus;sp25844,seq922 Bacillus;niabensis,seq2921 Bacillus;jeotgali,seq4628 Bacillus;niacini-soli,seq2381 Bacillus;NA,seq6059 Bacillus;NA,seq273 Bacillus;NA,seq3903 Bacillus;NA,seq4699 Bacillus;niacini,seq5367 Bacillus;thermoamylovorans,seq3291 Bacillus;sp25952,seq966 Bacillus;kokeshiiformis-thermolactis,seq3084 Bacillus;kokeshiiformis,seq2945 Bacillus;thermoamylovorans,seq5006 Bacillus;circulans,seq1974 Bacillus;circulans
Control.CSUSM,0,0,14,0,0,0,0,17,0,15,0,0,0,0,0,0,12,0,0,0,41,16,0,0,0,0,0,355,0,0,74,87,0,176,0,28,0,0,13,0,15,48,0,0,22,0,288,37,13,0,0,66,0,0,0,19
Zeus.CSUSM,0,13,0,0,0,0,0,0,12,0,0,12,0,13,0,0,0,0,0,0,33,0,0,23,0,0,0,136,0,0,32,33,0,122,0,0,0,0,0,0,16,36,0,0,0,0,82,0,0,0,0,37,0,19,0,0
Brewers.Gold.CSUSM,0,0,0,45,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,35,0,0,29,0,0,0,337,0,0,17,42,0,104,0,0,0,17,0,0,0,53,0,0,0,0,291,0,11,0,0,29,0,0,0,0
Neo1.CSUSM,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,132,17,0,27,42,0,62,11,0,0,0,0,0,14,49,0,0,0,0,94,0,0,0,0,50,0,0,0,0
Comet.CSUSM,26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,26,0,0,0,19,0,0,0,364,0,0,46,48,0,181,0,0,37,0,0,0,19,43,0,0,21,0,125,0,0,0,0,60,0,0,0,36
Columbus.CSUSM,0,0,0,0,17,0,0,24,14,0,0,0,0,0,0,12,0,0,0,0,41,0,0,0,26,0,0,522,0,21,0,66,0,145,0,0,54,0,0,44,14,57,68,25,14,13,188,0,0,17,0,0,40,0,0,0
Saaz72.CSUSM,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,198,0,38,0,74,0,69,0,0,0,18,0,0,15,34,0,0,17,0,108,0,0,0,0,37,0,0,20,0
Sorachi.Ace.CSUSM,0,0,0,13,0,0,0,18,0,15,12,0,0,12,0,0,0,0,0,0,15,0,0,41,0,12,0,200,0,21,0,39,0,96,0,0,0,0,0,0,18,66,0,0,0,0,98,0,0,0,14,54,0,0,0,20
Southern.Cross.CSUSM,0,0,0,11,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,21,0,0,50,42,0,0,268,0,44,0,36,0,84,0,0,0,14,0,0,11,27,0,0,0,0,235,0,0,0,0,32,0,0,0,0
Hallertauer.CSUSM,0,0,20,106,0,0,0,18,0,11,13,0,0,0,43,0,0,63,0,0,21,0,100,1035,626,0,11,248,11,45,0,77,15,159,0,0,0,16,0,0,16,44,0,0,26,0,288,0,0,0,23,81,0,48,0,56
Fuggle.UK,0,0,15,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,170,0,35,0,44,0,117,0,0,0,0,0,0,12,40,0,0,0,0,115,0,0,0,15,26,20,0,0,14
