sample_id,seq161 Bacillus;ginsengihumi,seq273 Bacillus;NA,seq400 Bacillus;coagulans,seq442 Bacillus;flexus-megaterium,seq703 Bacillus;aryabhattai-flexus-megaterium,seq817 Bacillus;subtilis-thermotolerans,seq922 Bacillus;niabensis,seq966 Bacillus;kokeshiiformis-thermolactis,seq1585 Bacillus;aquimaris-marisflavi,seq1369 Bacillus;benzoevorans-nealsonii,seq1668 Bacillus;smithii,seq2379 Bacillus;megaterium,seq1627 Bacillus;smithii,seq2524 Bacillus;humi,seq1974 Bacillus;circulans,seq2921 Bacillus;jeotgali,seq3026 Bacillus;nealsonii,seq3084 Bacillus;kokeshiiformis,seq4628 Bacillus;niacini-soli,seq2381 Bacillus;NA,seq4204 Bacillus;benzoevorans-nealsonii,seq3623 Bacillus;NA,seq2945 Bacillus;thermoamylovorans,seq3590 Bacillus;circulans,seq3126 Bacillus;NA,seq3903 Bacillus;NA,seq3300 Bacillus;sp25535,seq6507 Bacillus;firmus-oceanisediminis,seq5006 Bacillus;circulans,seq1935 Bacillus;sp25844,seq4549 Bacillus;mojavensis-subtilis-tequilensis,seq3686 Bacillus;sp25535,seq4368 Bacillus;humi,seq6566 Bacillus;sp25842,seq6059 Bacillus;NA,seq6294 Bacillus;nealsonii,seq6209 Bacillus;NA,seq5655 Bacillus;fordii,seq6847 Bacillus;sp25917,seq6029 Bacillus;oceanisediminis,seq6083 Bacillus;sp25934,seq4699 Bacillus;niacini,seq3291 Bacillus;sp25952,seq4825 Bacillus;sp25842,seq4550 Bacillus;sp25535,seq6726 Bacillus;humi,seq5519 Bacillus;benzoevorans,seq6401 Bacillus;sp25896,seq6511 Bacillus;ginsengihumi,seq4521 Bacillus;benzoevorans-nealsonii,seq4401 Bacillus;NA,seq2751 Bacillus;firmus-oceanisediminis,seq5367 Bacillus;thermoamylovorans,seq4397 Bacillus;sp25854,seq3408 Bacillus;NA,seq2987 Bacillus;humi
Control.CSUSM,0.0012,0.001,0.0006,0,0,0.0003,0.0001,0.0002,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0006,0.0003,0.0005,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0015,0.0013,0.0004,0.0001,0,0.0001,0.0002,0.0001,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0005,0.0004,0.0002,0,0,0.0001,0.0002,0.0002,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0013,0.0004,0.0006,0,0,0.0001,0.0001,0.0002,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0021,0.0007,0.0005,0,0.0001,0.0002,0.0002,0,0,0.0001,0,0,0,0.0002,0,0.0002,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0009,0.0005,0.0003,0,0,0.0003,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0007,0.0003,0.0003,0.0001,0,0.0001,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0012,0.001,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0009,0.0011,0.0006,0.0041,0.0025,0.0003,0.0001,0.0003,0.0004,0,0,0.0004,0.0001,0,0.0002,0,0.0002,0,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0.0008,0.0005,0.0006,0,0,0.0002,0.0002,0.0001,0.0002,0.0001,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
