Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq6209 Bacillus;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1585 Bacillus;aquimaris-marisflavi	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	0.0002
seq4401 Bacillus;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6029 Bacillus;oceanisediminis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6507 Bacillus;firmus-oceanisediminis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2751 Bacillus;firmus-oceanisediminis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4550 Bacillus;sp25535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4825 Bacillus;sp25842	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3126 Bacillus;NA	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3623 Bacillus;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq6401 Bacillus;sp25896	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3026 Bacillus;nealsonii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06
seq4204 Bacillus;benzoevorans-nealsonii	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4521 Bacillus;benzoevorans-nealsonii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1369 Bacillus;benzoevorans-nealsonii	0.0001	0.0001	0.0001	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001
seq5519 Bacillus;benzoevorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2379 Bacillus;megaterium	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06
seq442 Bacillus;flexus-megaterium	1e-06	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	0.0041	1e-06
seq703 Bacillus;aryabhattai-flexus-megaterium	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	0.0025	1e-06
seq6511 Bacillus;ginsengihumi	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6847 Bacillus;sp25917	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq161 Bacillus;ginsengihumi	0.0012	0.0006	0.0015	0.0005	0.0013	0.0021	0.0009	0.0007	0.0012	0.0009	0.0008
seq4397 Bacillus;sp25854	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1627 Bacillus;smithii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	0.0001	0.0001
seq1668 Bacillus;smithii	0.0002	0.0001	1e-06	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq817 Bacillus;subtilis-thermotolerans	0.0003	0.0001	0.0001	0.0001	0.0001	0.0002	0.0003	0.0001	0.0001	0.0003	0.0002
seq5655 Bacillus;fordii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq400 Bacillus;coagulans	0.0006	0.0005	0.0004	0.0002	0.0006	0.0005	0.0003	0.0003	0.0003	0.0006	0.0006
seq6726 Bacillus;humi	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4368 Bacillus;humi	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2524 Bacillus;humi	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq2987 Bacillus;humi	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6083 Bacillus;sp25934	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3590 Bacillus;circulans	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1935 Bacillus;sp25844	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq922 Bacillus;niabensis	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002
seq2921 Bacillus;jeotgali	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq4628 Bacillus;niacini-soli	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq2381 Bacillus;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq6059 Bacillus;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq273 Bacillus;NA	0.001	0.0003	0.0013	0.0004	0.0004	0.0007	0.0005	0.0003	0.001	0.0011	0.0005
seq3903 Bacillus;NA	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4699 Bacillus;niacini	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5367 Bacillus;thermoamylovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3291 Bacillus;sp25952	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq966 Bacillus;kokeshiiformis-thermolactis	0.0002	0.0001	0.0001	0.0002	0.0002	1e-06	0.0001	0.0002	0.0001	0.0003	0.0001
seq3084 Bacillus;kokeshiiformis	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001
seq2945 Bacillus;thermoamylovorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq5006 Bacillus;circulans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1974 Bacillus;circulans	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06
