Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1751 Bauldia;sp44360	1e-06	0.0001	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06
seq3593 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3231 Bauldia;sp44360	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq841 Bauldia;sp44360	0.0002	0.0002	0.0001	0.0001	1e-06	0.0002	1e-06	0.0003	0.0001	0.0005	0.0003
seq3418 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002
seq550 Bauldia;sp44360-sp44364	0.0006	1e-06	0.0006	1e-06	0.0001	0.0004	0.0006	0.0003	0.0004	0.0002	0.0001
seq2943 Bauldia;sp44360-sp44364	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4494 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq4936 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1826 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq913 Bauldia;sp44360	0.0002	0.0002	1e-06	0.0003	1e-06	0.0001	0.0001	0.0001	0.0001	0.0004	0.0001
seq5507 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3204 Bauldia;sp44360	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq326 Bauldia;sp44360	0.0001	0.0008	0.0001	0.0035	0.0007	1e-06	0.0002	0.0001	0.0002	0.0005	0.0004
seq233 Bauldia;sp44360	0.0004	0.001	0.0004	0.0016	0.0009	0.0005	0.0015	0.0006	0.0012	0.001	0.0005
seq2496 Bauldia;sp44359	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	0.0001
seq3044 Bauldia;sp44364	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06
seq5752 Bauldia;sp44364-sp44627-sp44639	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
