sample_id,seq2946 Blastocatella;sp3031-sp3079,seq2362 Blastocatella;sp3013,seq1547 Blastocatella;sp3083,seq103 Blastocatella;sp3050,seq1707 Blastocatella;sp3083,seq6835 Blastocatella;sp3083,seq5598 Blastocatella;sp3012,seq711 Blastocatella;sp2992,seq158 Blastocatella;sp3042,seq4040 Blastocatella;sp2998,seq44 Blastocatella;sp2985,seq1242 Blastocatella;sp2985
Control.CSUSM,0,0,0,564,113,0,0,28,215,34,1778,0
Zeus.CSUSM,0,0,0,73,0,0,0,97,195,0,114,0
Brewers.Gold.CSUSM,0,0,215,400,0,11,0,117,493,0,616,0
Neo1.CSUSM,0,20,11,704,0,0,0,79,433,0,907,0
Comet.CSUSM,67,20,0,659,18,0,16,52,426,0,2631,313
Columbus.CSUSM,0,0,0,527,0,0,0,25,398,0,258,0
Saaz72.CSUSM,0,0,0,447,16,0,0,14,59,0,290,0
Sorachi.Ace.CSUSM,0,0,0,266,13,0,0,51,239,0,212,0
Southern.Cross.CSUSM,0,0,0,288,0,0,0,12,246,0,388,0
Hallertauer.CSUSM,0,41,0,387,0,0,0,100,148,0,309,0
Fuggle.UK,0,21,0,175,27,0,0,124,120,0,173,0
