sample_id,seq44 Blastocatella;sp2985,seq103 Blastocatella;sp3050,seq158 Blastocatella;sp3042,seq711 Blastocatella;sp2992,seq1242 Blastocatella;sp2985,seq1547 Blastocatella;sp3083,seq1707 Blastocatella;sp3083,seq2946 Blastocatella;sp3031-sp3079,seq2362 Blastocatella;sp3013,seq4040 Blastocatella;sp2998,seq5598 Blastocatella;sp3012,seq6835 Blastocatella;sp3083
Control.CSUSM,0.0062,0.0019,0.0007,0,0,0,0.0003,0,0,0.0001,0,0
Zeus.CSUSM,0.0005,0.0003,0.0008,0.0004,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0027,0.0017,0.0022,0.0005,0,0.0009,0,0,0,0,0,0
Neo1.CSUSM,0.0041,0.0031,0.0019,0.0003,0,0,0,0,0,0,0,0
Comet.CSUSM,0.01,0.0025,0.0016,0.0001,0.0011,0,0,0.0002,0,0,0,0
Columbus.CSUSM,0.001,0.0021,0.0016,0.0001,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0014,0.0021,0.0002,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0007,0.0009,0.0008,0.0001,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0017,0.0013,0.0011,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0012,0.0015,0.0005,0.0004,0,0,0,0,0.0001,0,0,0
Fuggle.UK,0.0008,0.0009,0.0006,0.0006,0,0,0.0001,0,0.0001,0,0,0
