Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq2946 Blastocatella;sp3031-sp3079	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2362 Blastocatella;sp3013	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001
seq1547 Blastocatella;sp3083	1e-06	1e-06	0.0009	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq103 Blastocatella;sp3050	0.0019	0.0003	0.0017	0.0031	0.0025	0.0021	0.0021	0.0009	0.0013	0.0015	0.0009
seq1707 Blastocatella;sp3083	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq6835 Blastocatella;sp3083	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5598 Blastocatella;sp3012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq711 Blastocatella;sp2992	1e-06	0.0004	0.0005	0.0003	0.0001	0.0001	1e-06	0.0001	1e-06	0.0004	0.0006
seq158 Blastocatella;sp3042	0.0007	0.0008	0.0022	0.0019	0.0016	0.0016	0.0002	0.0008	0.0011	0.0005	0.0006
seq4040 Blastocatella;sp2998	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq44 Blastocatella;sp2985	0.0062	0.0005	0.0027	0.0041	0.01	0.001	0.0014	0.0007	0.0017	0.0012	0.0008
seq1242 Blastocatella;sp2985	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
