Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq4683 Bryobacter;sp2580-sp2588	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1024 Bryobacter;sp2466	0.0002	1e-06	1e-06	1e-06	1e-06	0.0001	0.0004	0.0001	0.0003	0.0002	1e-06
seq3056 Bryobacter;sp2527	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq405 Bryobacter;sp2527	0.0006	0.0001	0.0002	0.0002	1e-06	0.0002	0.0008	0.0001	0.0016	0.0008	0.0005
seq2460 Bryobacter;sp2566	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06
seq5172 Bryobacter;sp2429	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3077 Bryobacter;sp2503-sp2551	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2626 Bryobacter;sp2476	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq588 Bryobacter;sp2514	1e-06	0.0001	0.0001	0.0008	0.0001	0.0003	0.0005	1e-06	0.0007	0.0005	0.0003
seq276 Bryobacter;sp2495-sp2530	0.0004	0.0006	0.001	0.0014	0.0005	0.0003	0.0002	0.0006	0.0013	0.0006	0.0008
seq378 Bryobacter;sp2425-sp2598	0.0004	0.0004	0.0007	0.0014	0.0004	0.0004	0.0003	0.0001	0.001	0.0001	0.0002
seq2627 Bryobacter;sp2425-sp2507-sp2598	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1714 Bryobacter;sp2598	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	0.0002	0.0002
seq3168 Bryobacter;sp2412-sp2425-sp2576	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq989 Bryobacter;sp2412-sp2425-sp2576	1e-06	0.0006	1e-06	0.0001	1e-06	0.0001	1e-06	0.0002	0.0006	1e-06	0.0001
seq1783 Bryobacter;sp2576-sp2598	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0004	0.0001
seq1539 Bryobacter;NA	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0002	0.0002
seq6121 Bryobacter;sp2576	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5105 Bryobacter;sp2555	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3827 Bryobacter;sp2433-sp2465	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3280 Bryobacter;sp2433	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq1295 Bryobacter;sp2433	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	0.0004
seq2188 Bryobacter;sp2433	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq5625 Bryobacter;sp2535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1012 Bryobacter;sp2498	1e-06	0.0002	0.0002	1e-06	0.0001	1e-06	0.0008	0.0001	1e-06	1e-06	1e-06
seq1433 Bryobacter;sp2535	1e-06	0.0001	1e-06	1e-06	0.0007	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq6061 Bryobacter;sp2535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq440 Bryobacter;sp2535	0.0004	0.0001	0.0003	0.0006	0.0005	0.0009	0.0005	0.0003	0.0003	0.0007	1e-06
seq12 Bryobacter;sp2535	0.0103	0.0035	0.0063	0.0035	0.0075	0.0093	0.0051	0.0047	0.0063	0.0053	0.0044
seq14 Bryobacter;sp2468	0.008	0.0029	0.0103	0.003	0.0071	0.005	0.0088	0.0027	0.0052	0.0035	0.0027
seq4197 Bryobacter;sp2498	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6652 Bryobacter;sp2498	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
