Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq5723 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4037 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1600 Cellulomonas;sp6335	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	0.0001	1e-06	1e-06	0.0001
seq6582 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2938 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq3891 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq1578 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	0.0003
seq6044 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq9 Cellulomonas;sp6335	0.0062	0.0064	0.0169	0.0076	0.0084	0.0089	0.0184	0.0072	0.0088	0.0069	0.0043
seq4376 Cellulomonas;sp6335	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq106 Cellulomonas;sp6335	1e-06	0.0016	0.0032	0.0013	1e-06	0.0023	0.0035	0.0021	0.002	0.0015	0.001
seq4930 Cellulomonas;sp6334	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5223 Cellulomonas;sp6334	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6065 Cellulomonas;biazotea-fimi-oligotrophica	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq10 Cellulomonas;oligotrophica	0.0055	0.0058	0.0087	0.0116	0.0151	0.0111	0.0066	0.0079	0.007	0.0116	0.0047
seq5458 Cellulomonas;biazotea-fimi	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4326 Cellulomonas;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq872 Cellulomonas;chitinilytica	1e-06	0.0001	1e-06	0.0001	0.0003	0.0002	1e-06	0.0002	1e-06	0.0007	0.0001
seq2100 Cellulomonas;pakistanensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	0.0002	1e-06
seq3250 Cellulomonas;uda	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1920 Cellulomonas;uda	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06	1e-06	0.0001	0.0002
seq4922 Cellulomonas;persica	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
