sample_id,seq1017 Devosia;insulae,seq2994 Devosia;sp43547,seq3985 Devosia;insulae-sp43547,seq6938 Devosia;sp43547,seq2295 Devosia;insulae-sp43554,seq96 Devosia;sp43554,seq6119 Devosia;sp43554,seq2067 Devosia;sp43554,seq1938 Devosia;sp43554,seq3136 Devosia;sp43554,seq5284 Devosia;geojensis,seq4356 Devosia;sp43535,seq1376 Devosia;riboflavina-soli,seq6290 Devosia;riboflavina,seq5756 Devosia;geojensis,seq1663 Devosia;geojensis,seq457 Devosia;geojensis,seq396 Devosia;geojensis,seq5265 Devosia;insulae,seq5127 Devosia;insulae,seq2809 Devosia;ginsengisoli-insulae-sp43709,seq4064 Devosia;ginsengisoli-insulae-sp43709,seq5179 Devosia;ginsengisoli-insulae-sp43547,seq5064 Devosia;ginsengisoli-insulae,seq640 Devosia;insulae,seq30 Devosia;insulae,seq488 Devosia;insulae-sp43545-sp43547,seq5803 Devosia;sp43550,seq1508 Devosia;sp43547,seq4602 Devosia;insulae-sp43545-sp43547,seq117 Devosia;sp43547,seq1124 Devosia;sp43545,seq196 Devosia;sp43545,seq4533 Devosia;neptuniae-sp43705,seq230 Devosia;sp43545
Control.CSUSM,0,64,0,0,0,323,0,27,75,0,0,0,0,0,0,72,103,217,0,0,41,19,0,0,0,1376,110,0,61,25,288,16,60,0,0
Zeus.CSUSM,309,0,35,0,0,451,0,0,0,24,0,0,0,0,15,0,186,176,0,0,0,0,0,0,0,588,34,0,0,0,556,65,306,0,0
Brewers.Gold.CSUSM,0,0,0,0,0,225,0,30,12,0,0,0,0,0,0,0,41,101,18,19,0,0,0,0,0,462,90,0,0,0,387,0,79,0,54
Neo1.CSUSM,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,38,48,98,0,0,0,0,0,0,151,596,106,0,90,0,338,0,126,0,397
Comet.CSUSM,0,0,0,11,0,637,0,0,0,0,18,0,0,0,0,0,172,148,0,0,0,0,0,20,0,1236,164,15,0,0,437,0,444,14,0
Columbus.CSUSM,0,0,0,0,0,427,0,0,0,0,0,29,153,13,0,0,115,122,0,0,0,0,0,0,0,1109,287,0,0,0,297,0,241,0,124
Saaz72.CSUSM,0,0,0,0,108,213,0,0,24,0,0,0,0,0,0,0,27,84,0,0,0,0,0,0,131,405,52,0,0,0,64,19,132,0,274
Sorachi.Ace.CSUSM,0,0,0,0,0,379,0,0,0,0,0,0,48,0,0,0,188,192,0,0,0,0,0,0,0,1290,73,0,0,0,709,83,202,0,0
Southern.Cross.CSUSM,0,0,0,0,0,817,0,75,39,23,0,0,40,0,0,0,98,119,0,0,33,14,19,0,185,849,67,0,83,0,179,112,553,0,714
Hallertauer.CSUSM,0,0,0,0,0,654,13,0,0,0,0,0,29,0,0,0,97,62,0,0,0,0,0,0,317,1025,49,0,0,0,350,73,215,0,599
Fuggle.UK,126,0,0,0,0,308,0,0,0,11,0,0,0,0,0,86,87,0,0,0,0,0,0,0,0,578,41,0,0,0,218,0,179,12,124
