Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1017 Devosia;insulae	1e-06	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006
seq2994 Devosia;sp43547	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3985 Devosia;insulae-sp43547	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6938 Devosia;sp43547	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2295 Devosia;insulae-sp43554	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06
seq96 Devosia;sp43554	0.0011	0.002	0.001	0.0012	0.0024	0.0017	0.001	0.0014	0.0037	0.0026	0.0015
seq6119 Devosia;sp43554	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2067 Devosia;sp43554	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq1938 Devosia;sp43554	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06
seq3136 Devosia;sp43554	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq5284 Devosia;geojensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4356 Devosia;sp43535	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1376 Devosia;riboflavina-soli	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	1e-06	0.0001	0.0001	0.0001	1e-06
seq6290 Devosia;riboflavina	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5756 Devosia;geojensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1663 Devosia;geojensis	0.0002	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004
seq457 Devosia;geojensis	0.0003	0.0008	0.0001	0.0002	0.0006	0.0004	0.0001	0.0007	0.0004	0.0003	0.0004
seq396 Devosia;geojensis	0.0007	0.0008	0.0004	0.0004	0.0005	0.0005	0.0004	0.0007	0.0005	0.0002	1e-06
seq5265 Devosia;insulae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5127 Devosia;insulae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2809 Devosia;ginsengisoli-insulae-sp43709	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq4064 Devosia;ginsengisoli-insulae-sp43709	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5179 Devosia;ginsengisoli-insulae-sp43547	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5064 Devosia;ginsengisoli-insulae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq640 Devosia;insulae	1e-06	1e-06	1e-06	0.0006	1e-06	1e-06	0.0006	1e-06	0.0008	0.0012	1e-06
seq30 Devosia;insulae	0.0047	0.0027	0.002	0.0027	0.0047	0.0045	0.0019	0.0048	0.0038	0.0041	0.003
seq488 Devosia;insulae-sp43545-sp43547	0.0003	0.0001	0.0004	0.0004	0.0006	0.0011	0.0002	0.0002	0.0003	0.0001	0.0002
seq5803 Devosia;sp43550	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1508 Devosia;sp43547	0.0002	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq4602 Devosia;insulae-sp43545-sp43547	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq117 Devosia;sp43547	0.001	0.0025	0.0017	0.0015	0.0016	0.0012	0.0003	0.0026	0.0008	0.0014	0.0011
seq1124 Devosia;sp43545	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	0.0005	0.0002	1e-06
seq196 Devosia;sp43545	0.0002	0.0014	0.0003	0.0005	0.0016	0.0009	0.0006	0.0007	0.0025	0.0008	0.0009
seq4533 Devosia;neptuniae-sp43705	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq230 Devosia;sp43545	1e-06	1e-06	0.0002	0.0018	1e-06	0.0005	0.0013	1e-06	0.0032	0.0024	0.0006
