sample_id,seq5485 Dokdonella;sp65012,seq5332 Dokdonella;sp65012,seq7 Dokdonella;sp65012,seq796 Dokdonella;sp65012,seq1575 Dokdonella;sp65012,seq5472 Dokdonella;fugitiva-sp65012,seq4322 Dokdonella;fugitiva-sp65012,seq4985 Dokdonella;fugitiva-sp65012,seq5393 Dokdonella;fugitiva-sp65012,seq2681 Dokdonella;sp65012,seq659 Dokdonella;fugitiva,seq6201 Dokdonella;sp65012,seq3727 Dokdonella;soli,seq125 Dokdonella;ginsengisoli-soli,seq5747 Dokdonella;ginsengisoli,seq315 Dokdonella;ginsengisoli,seq2661 Dokdonella;ginsengisoli
Control.CSUSM,0,0,2613,120,0,0,0,0,0,0,35,0,0,141,0,145,0
Zeus.CSUSM,0,0,2408,77,0,0,0,21,0,0,53,0,0,411,0,358,37
Brewers.Gold.CSUSM,17,0,3588,163,0,0,29,0,0,0,26,0,0,590,0,130,0
Neo1.CSUSM,0,0,1660,0,15,0,0,0,0,22,16,0,0,719,0,83,0
Comet.CSUSM,0,0,2696,77,0,17,0,0,0,0,167,0,0,103,0,85,0
Columbus.CSUSM,0,0,2049,0,0,0,0,0,0,0,44,0,0,139,0,95,0
Saaz72.CSUSM,0,0,1998,62,0,0,0,0,17,0,32,0,0,163,0,39,0
Sorachi.Ace.CSUSM,0,0,3090,0,0,0,0,0,0,11,124,0,40,76,0,392,0
Southern.Cross.CSUSM,0,17,2711,106,182,0,0,0,0,0,87,0,0,456,0,79,0
Hallertauer.CSUSM,0,0,1986,0,0,0,0,0,0,34,111,13,0,451,15,140,0
Fuggle.UK,0,0,2375,0,22,0,0,0,0,13,52,0,0,282,0,150,45
