Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq5485 Dokdonella;sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5332 Dokdonella;sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq7 Dokdonella;sp65012	0.0091	0.011	0.016	0.0075	0.0102	0.0084	0.0097	0.0115	0.0123	0.008	0.0123
seq796 Dokdonella;sp65012	0.0004	0.0003	0.0007	1e-06	0.0002	1e-06	0.0003	1e-06	0.0004	1e-06	1e-06
seq1575 Dokdonella;sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	0.0001
seq5472 Dokdonella;fugitiva-sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4322 Dokdonella;fugitiva-sp65012	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4985 Dokdonella;fugitiva-sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5393 Dokdonella;fugitiva-sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2681 Dokdonella;sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq659 Dokdonella;fugitiva	0.0001	0.0002	0.0001	1e-06	0.0006	0.0001	0.0001	0.0004	0.0003	0.0004	0.0002
seq6201 Dokdonella;sp65012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3727 Dokdonella;soli	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq125 Dokdonella;ginsengisoli-soli	0.0004	0.0018	0.0026	0.0032	0.0003	0.0005	0.0007	0.0002	0.002	0.0018	0.0014
seq5747 Dokdonella;ginsengisoli	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq315 Dokdonella;ginsengisoli	0.0005	0.0016	0.0005	0.0003	0.0003	0.0003	0.0001	0.0014	0.0003	0.0005	0.0007
seq2661 Dokdonella;ginsengisoli	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002
