Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq991 Dongia;sp46092	1e-06	0.0005	1e-06	1e-06	1e-06	0.0004	1e-06	0.0004	1e-06	1e-06	0.0005
seq153 Dongia;sp46092	0.0036	1e-06	0.0007	0.0009	0.0015	1e-06	0.0014	1e-06	0.0011	0.0023	1e-06
seq421 Dongia;sp46092	0.0024	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	1e-06	0.0015	0.0002	1e-06
seq5346 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4915 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2777 Dongia;sp46092-sp46093	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq3567 Dongia;sp46093	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3570 Dongia;sp46092-sp46093	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4657 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq301 Dongia;sp46093	0.0007	0.0002	0.0005	0.0007	0.0011	0.0003	0.0005	0.0003	0.0017	0.0009	0.0001
seq773 Dongia;sp46092	0.0002	0.0001	0.0003	0.0002	1e-06	0.0001	1e-06	0.0003	0.0002	0.0003	0.0006
seq6872 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5399 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5848 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5248 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3768 Dongia;sp46092	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq642 Dongia;sp46092	0.0004	1e-06	0.0011	0.0004	0.0001	1e-06	0.0002	1e-06	0.0005	0.0003	1e-06
seq1864 Dongia;sp46092	1e-06	0.0003	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	0.0001
seq186 Dongia;sp46092	0.0024	1e-06	0.0011	0.0013	0.0009	1e-06	0.0013	1e-06	0.0028	0.0009	1e-06
seq366 Dongia;sp46092	1e-06	0.0018	1e-06	1e-06	1e-06	0.001	1e-06	0.002	1e-06	1e-06	0.0012
seq5264 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5043 Dongia;sp46092	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq623 Dongia;sp46092	0.0002	1e-06	1e-06	0.0007	0.0006	0.0009	1e-06	0.0001	0.0004	1e-06	1e-06
seq2251 Dongia;sp46094	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4517 Dongia;sp46094	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
