sample_id,seq478 Gaiella;sp10792,seq109 Gaiella;sp10792,seq6798 Gaiella;sp10792,seq168 Gaiella;sp10791,seq3922 Gaiella;sp10788,seq6396 Gaiella;sp10788-sp10792,seq6531 Gaiella;sp10792,seq5024 Gaiella;sp10792,seq5836 Gaiella;sp10791,seq3446 Gaiella;sp10792,seq155 Gaiella;sp10792,seq170 Gaiella;sp10792,seq1792 Gaiella;sp10792,seq254 Gaiella;sp10792
Control.CSUSM,0,340,0,223,0,0,12,0,0,0,271,259,0,219
Zeus.CSUSM,0,248,0,116,0,0,0,0,0,48,306,325,0,194
Brewers.Gold.CSUSM,65,289,11,143,24,12,0,0,0,0,407,256,0,188
Neo1.CSUSM,168,913,0,271,0,0,0,0,0,0,276,290,36,189
Comet.CSUSM,160,338,0,140,0,0,0,0,0,0,296,326,33,258
Columbus.CSUSM,74,358,0,183,12,0,0,0,0,0,252,456,54,310
Saaz72.CSUSM,454,326,0,748,0,0,0,20,0,0,292,249,48,284
Sorachi.Ace.CSUSM,0,259,0,211,0,0,0,0,0,0,323,195,0,132
Southern.Cross.CSUSM,62,332,0,303,0,0,0,0,15,0,263,158,0,118
Hallertauer.CSUSM,81,427,0,319,0,0,0,0,0,0,120,137,0,111
Fuggle.UK,47,181,0,174,0,0,0,0,0,0,180,117,0,103
