sample_id,seq109 Gaiella;sp10792,seq155 Gaiella;sp10792,seq168 Gaiella;sp10791,seq170 Gaiella;sp10792,seq254 Gaiella;sp10792,seq478 Gaiella;sp10792,seq1792 Gaiella;sp10792,seq3446 Gaiella;sp10792,seq3922 Gaiella;sp10788,seq6531 Gaiella;sp10792,seq5024 Gaiella;sp10792,seq5836 Gaiella;sp10791,seq6396 Gaiella;sp10788-sp10792,seq6798 Gaiella;sp10792
Control.CSUSM,0.0011,0.0009,0.0007,0.0009,0.0007,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0011,0.0014,0.0005,0.0014,0.0008,0,0,0.0002,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0012,0.0018,0.0006,0.0011,0.0008,0.0002,0,0,0.0001,0,0,0,0,0
Neo1.CSUSM,0.0041,0.0012,0.0012,0.0013,0.0008,0.0007,0.0001,0,0,0,0,0,0,0
Comet.CSUSM,0.0012,0.0011,0.0005,0.0012,0.0009,0.0006,0.0001,0,0,0,0,0,0,0
Columbus.CSUSM,0.0014,0.001,0.0007,0.0018,0.0012,0.0003,0.0002,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0015,0.0014,0.0036,0.0012,0.0013,0.0022,0.0002,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0009,0.0012,0.0007,0.0007,0.0004,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0015,0.0011,0.0013,0.0007,0.0005,0.0002,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0017,0.0004,0.0012,0.0005,0.0004,0.0003,0,0,0,0,0,0,0,0
Fuggle.UK,0.0009,0.0009,0.0009,0.0006,0.0005,0.0002,0,0,0,0,0,0,0,0
