Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq478 Gaiella;sp10792	1e-06	1e-06	0.0002	0.0007	0.0006	0.0003	0.0022	1e-06	0.0002	0.0003	0.0002
seq109 Gaiella;sp10792	0.0011	0.0011	0.0012	0.0041	0.0012	0.0014	0.0015	0.0009	0.0015	0.0017	0.0009
seq6798 Gaiella;sp10792	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq168 Gaiella;sp10791	0.0007	0.0005	0.0006	0.0012	0.0005	0.0007	0.0036	0.0007	0.0013	0.0012	0.0009
seq3922 Gaiella;sp10788	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6396 Gaiella;sp10788-sp10792	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6531 Gaiella;sp10792	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5024 Gaiella;sp10792	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5836 Gaiella;sp10791	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3446 Gaiella;sp10792	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq155 Gaiella;sp10792	0.0009	0.0014	0.0018	0.0012	0.0011	0.001	0.0014	0.0012	0.0011	0.0004	0.0009
seq170 Gaiella;sp10792	0.0009	0.0014	0.0011	0.0013	0.0012	0.0018	0.0012	0.0007	0.0007	0.0005	0.0006
seq1792 Gaiella;sp10792	1e-06	1e-06	1e-06	0.0001	0.0001	0.0002	0.0002	1e-06	1e-06	1e-06	1e-06
seq254 Gaiella;sp10792	0.0007	0.0008	0.0008	0.0008	0.0009	0.0012	0.0013	0.0004	0.0005	0.0004	0.0005
