sample_id,seq85 Haliangium;sp53712,seq239 Haliangium;sp53722,seq284 Haliangium;sp53606,seq317 Haliangium;sp53712,seq356 Haliangium;sp53712,seq423 Haliangium;sp53671,seq720 Haliangium;sp53609,seq826 Haliangium;sp53655,seq932 Haliangium;sp53576-sp53722,seq1127 Haliangium;sp53671,seq1051 Haliangium;sp53725,seq1177 Haliangium;sp53609,seq1303 Haliangium;sp53653,seq1279 Haliangium;sp53653,seq1544 Haliangium;sp53637,seq1693 Haliangium;sp53618,seq2133 Haliangium;sp53702,seq1851 Haliangium;sp53706,seq1980 Haliangium;sp53609,seq2415 Haliangium;sp53671,seq2218 Haliangium;sp53618,seq1973 Haliangium;sp53609-sp53690,seq2206 Haliangium;sp53637,seq2518 Haliangium;sp53671,seq2680 Haliangium;sp53646,seq2728 Haliangium;sp53638,seq2718 Haliangium;sp53585-sp53625,seq2771 Haliangium;sp53722,seq1976 Haliangium;sp53585-sp53625,seq1827 Haliangium;sp53637,seq3732 Haliangium;sp53658-sp53687,seq3928 Haliangium;sp53712,seq4746 Haliangium;sp53618,seq4110 Haliangium;sp53576-sp53722,seq3166 Haliangium;sp53720,seq4184 Haliangium;sp53722,seq3837 Haliangium;sp53637,seq2742 Haliangium;sp53712,seq3730 Haliangium;sp53697,seq2733 Haliangium;sp53581,seq6198 Haliangium;sp53712,seq3957 Haliangium;sp53639,seq6748 Haliangium;sp53609,seq3854 Haliangium;sp53695,seq4105 Haliangium;sp53618,seq6499 Haliangium;sp53641,seq3630 Haliangium;sp53637-sp53667,seq2727 Haliangium;sp53722,seq5032 Haliangium;sp53637,seq4626 Haliangium;sp53653,seq5940 Haliangium;sp53639,seq3536 Haliangium;sp53581,seq6537 Haliangium;sp53607,seq6371 Haliangium;sp53704,seq3374 Haliangium;sp53722,seq5176 Haliangium;sp53689,seq2674 Haliangium;sp53576-sp53722,seq5423 Haliangium;sp53609,seq6440 Haliangium;sp53591
Control.CSUSM,0.0018,0.0008,0.0019,0.0031,0.0002,0.0008,0,0,0.0003,0,0.0002,0,0.0001,0.0001,0,0,0,0,0,0,0,0.0001,0.0002,0,0,0,0.0001,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0024,0.0014,0.0018,0.0003,0.0004,0.0002,0.0002,0.0004,0.0001,0,0.0003,0,0,0.0001,0.0002,0,0,0,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0056,0.0004,0.0001,0.0003,0.0004,0.0003,0.0006,0,0.0001,0,0.0002,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0044,0.0004,0.0004,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0002,0.001,0,0.0003,0.0018,0.0004,0,0,0.0001,0,0.0001,0.001,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0011,0.001,0.0001,0.0003,0.0006,0.0009,0,0,0.0001,0.0001,0.0001,0.0003,0.0001,0,0,0,0,0,0,0.0002,0,0,0.0001,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.001,0.0003,0.0007,0.0003,0.0019,0.0006,0.0005,0,0,0.0003,0.0001,0,0.0001,0,0,0.0001,0.0004,0.0003,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0004,0.0009,0.0002,0.0007,0.0001,0.0003,0.0001,0.001,0.0002,0.0008,0.0001,0,0,0.0001,0.0001,0.0001,0,0,0.0003,0,0,0,0,0.0003,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0012,0.0003,0.0006,0.0004,0.0001,0.0005,0.0004,0,0.0001,0,0,0,0.0001,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0016,0.0013,0.0008,0.0002,0.0002,0.0004,0.0008,0,0,0,0,0,0.0001,0,0.0002,0.0004,0,0.0001,0,0,0.0004,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0.0019,0.0012,0.0007,0,0,0.0001,0,0.001,0.0002,0.0001,0.0002,0,0,0.0002,0.0003,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
