Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq2771 Haliangium;sp53722	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06
seq4184 Haliangium;sp53722	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq239 Haliangium;sp53722	0.0008	0.0014	0.0004	0.0004	0.001	0.001	0.0003	0.0009	0.0003	0.0013	0.0012
seq4110 Haliangium;sp53576-sp53722	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq932 Haliangium;sp53576-sp53722	0.0003	0.0001	0.0001	0.0002	0.0001	0.0001	1e-06	0.0002	0.0001	1e-06	0.0002
seq1279 Haliangium;sp53653	0.0001	0.0001	0.0003	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0002
seq3854 Haliangium;sp53695	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1127 Haliangium;sp53671	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0003	0.0008	1e-06	1e-06	0.0001
seq2518 Haliangium;sp53671	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06
seq2415 Haliangium;sp53671	1e-06	0.0001	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	0.0001
seq423 Haliangium;sp53671	0.0008	0.0002	0.0003	1e-06	0.0004	0.0009	0.0006	0.0003	0.0005	0.0004	0.0001
seq1303 Haliangium;sp53653	0.0001	1e-06	1e-06	1e-06	0.0004	0.0001	0.0001	1e-06	0.0001	0.0001	1e-06
seq4626 Haliangium;sp53653	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6440 Haliangium;sp53591	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1051 Haliangium;sp53725	0.0002	0.0003	0.0002	1e-06	0.0001	0.0001	0.0001	0.0001	1e-06	1e-06	0.0002
seq3732 Haliangium;sp53658-sp53687	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq284 Haliangium;sp53606	0.0019	0.0018	0.0001	0.0004	1e-06	0.0001	0.0007	0.0002	0.0006	0.0008	0.0007
seq3166 Haliangium;sp53720	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq2133 Haliangium;sp53702	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	0.0001	1e-06	1e-06
seq1851 Haliangium;sp53706	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	0.0001	0.0001	1e-06
seq3730 Haliangium;sp53697	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq5176 Haliangium;sp53689	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2728 Haliangium;sp53638	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06
seq1544 Haliangium;sp53637	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0002	0.0003
seq3837 Haliangium;sp53637	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4746 Haliangium;sp53618	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq1693 Haliangium;sp53618	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0004	1e-06
seq2218 Haliangium;sp53618	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06
seq2742 Haliangium;sp53712	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq826 Haliangium;sp53655	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	0.001	1e-06	1e-06	0.001
seq6198 Haliangium;sp53712	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq317 Haliangium;sp53712	0.0031	0.0003	0.0003	1e-06	0.0003	0.0003	0.0003	0.0007	0.0004	0.0002	1e-06
seq85 Haliangium;sp53712	0.0018	0.0024	0.0056	0.0044	0.0002	0.0011	0.001	0.0004	0.0012	0.0016	0.0019
seq3928 Haliangium;sp53712	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
