Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq6465 Hyphomicrobium;sp43613-sp43696	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3955 Hyphomicrobium;sp43599	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3742 Hyphomicrobium;zavarzinii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq490 Hyphomicrobium;sp43607	0.0002	0.0003	0.0004	0.0008	0.0001	0.0001	0.0003	0.0003	0.0004	0.0007	0.0005
seq1420 Hyphomicrobium;sp43607	0.0001	0.0001	1e-06	0.0002	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06	0.0002
seq3509 Hyphomicrobium;sp43599	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq350 Hyphomicrobium;sp43599	1e-06	0.0002	0.0013	0.0006	0.0005	0.0003	0.0003	0.0007	0.0008	0.001	0.0004
seq4282 Hyphomicrobium;sp43599	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq701 Hyphomicrobium;nitrativorans	0.0001	0.0001	0.0002	0.0004	0.0004	0.0002	0.0002	0.0001	0.0003	0.0004	0.0001
seq881 Hyphomicrobium;facile	1e-06	0.0005	0.0001	0.0003	1e-06	0.0001	0.0001	0.0002	0.0002	0.0001	0.0003
seq2816 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001
seq4747 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1387 Hyphomicrobium;sp43604	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	1e-06	1e-06	0.0002	0.0002	1e-06
seq1367 Hyphomicrobium;sulfonivorans	1e-06	0.0001	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	0.0001
seq6737 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6459 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq89 Hyphomicrobium;sp43604	0.0007	0.0035	0.0023	0.0024	0.0011	0.0012	0.0009	0.0024	0.0016	0.0021	0.0032
seq2584 Hyphomicrobium;denitrificans-facile	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0003
seq758 Hyphomicrobium;denitrificans	0.0001	0.0003	0.0001	0.0002	0.0001	0.0002	0.0001	0.0004	0.0001	0.0001	0.0005
seq48 Hyphomicrobium;denitrificans	0.0018	0.0031	0.0027	0.0054	0.0027	0.0027	0.0024	0.0026	0.0029	0.002	0.0033
seq1497 Hyphomicrobium;denitrificans	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	0.0001	0.0001	1e-06	0.0002	0.0001
seq2429 Hyphomicrobium;denitrificans	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq5021 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5622 Hyphomicrobium;facile	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1395 Hyphomicrobium;sp43604	0.0001	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0004
seq3762 Hyphomicrobium;methylovorum	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1862 Hyphomicrobium;methylovorum	1e-06	0.0002	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002
seq1096 Hyphomicrobium;methylovorum	0.0002	1e-06	0.0003	0.0001	1e-06	1e-06	0.0003	1e-06	0.0001	1e-06	0.0004
seq2516 Hyphomicrobium;methylovorum	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06
