sample_id,seq1032 Nocardioides;terrae,seq5788 Nocardioides;terrae,seq4588 Nocardioides;terrae,seq2621 Nocardioides;terrae,seq1824 Nocardioides;marinus,seq4214 Nocardioides;sp7654-sp7670,seq4613 Nocardioides;marinisabuli,seq2552 Nocardioides;tritolerans,seq3006 Nocardioides;tritolerans,seq6664 Nocardioides;sp7696,seq6555 Nocardioides;sp7696,seq6732 Nocardioides;sp7655-sp7696,seq6901 Nocardioides;sp7655-sp7696,seq5793 Nocardioides;sp7655-sp7696,seq4275 Nocardioides;sp7655-sp7696,seq4638 Nocardioides;sp7655,seq6597 Nocardioides;sp7655-sp7696,seq3295 Nocardioides;sp7696,seq4 Nocardioides;sp7655,seq3196 Nocardioides;sp7655,seq3537 Nocardioides;sp7655,seq2077 Nocardioides;marinus,seq3647 Nocardioides;marinus,seq2097 Nocardioides;albus-fulvus,seq2985 Nocardioides;sp7676,seq1206 Nocardioides;sp7678,seq2231 Nocardioides;sp7678,seq384 Nocardioides;albus-fulvus,seq6048 Nocardioides;sp7659,seq5114 Nocardioides;daedukensis-sp7692,seq3128 Nocardioides;sp7692,seq1162 Nocardioides;albus-fulvus,seq5135 Nocardioides;sp7693,seq5701 Nocardioides;terrae,seq260 Nocardioides;terrae,seq1830 Nocardioides;terrae,seq6653 Nocardioides;sp7693,seq5345 Nocardioides;terrae,seq6638 Nocardioides;sp7696,seq2023 Nocardioides;opuntiae-panacihumi,seq4235 Nocardioides;opuntiae-panacihumi,seq2027 Nocardioides;opuntiae-panacihumi,seq883 Nocardioides;opuntiae-panacihumi,seq1431 Nocardioides;albus,seq2785 Nocardioides;albus,seq486 Nocardioides;sp7692,seq970 Nocardioides;sp7692,seq3815 Nocardioides;sp7676,seq990 Nocardioides;sp7676,seq5269 Nocardioides;opuntiae-panacihumi,seq3512 Nocardioides;opuntiae-panacihumi,seq4155 Nocardioides;dilutus,seq3428 Nocardioides;dilutus,seq6238 Nocardioides;halotolerans,seq1291 Nocardioides;halotolerans,seq340 Nocardioides;halotolerans,seq6415 Nocardioides;halotolerans,seq3998 Nocardioides;halotolerans,seq302 Nocardioides;halotolerans,seq2407 Nocardioides;halotolerans,seq303 Nocardioides;halotolerans,seq5899 Nocardioides;panacisoli,seq5509 Nocardioides;plantarum,seq4601 Nocardioides;marinquilinus,seq6390 Nocardioides;marinquilinus,seq4925 Nocardioides;islandensis,seq6151 Nocardioides;islandensis,seq4383 Nocardioides;islandensis,seq445 Nocardioides;islandensis,seq4266 Nocardioides;islandensis,seq955 Nocardioides;islandensis,seq294 Nocardioides;islandensis,seq3832 Nocardioides;sp7669,seq6520 Nocardioides;sp7669,seq6047 Nocardioides;islandensis,seq51 Nocardioides;islandensis,seq6493 Nocardioides;islandensis,seq5486 Nocardioides;islandensis,seq1893 Nocardioides;caricicola,seq6444 Nocardioides;aquiterrae,seq2851 Nocardioides;aquiterrae,seq178 Nocardioides;aquiterrae,seq6649 Nocardioides;conyzicola,seq4013 Nocardioides;nitrophenolicus,seq2184 Nocardioides;sp7679,seq6503 Nocardioides;kribbensis-sp7679,seq3823 Nocardioides;terrigena,seq4377 Nocardioides;mesophilus,seq4152 Nocardioides;mesophilus,seq2671 Nocardioides;sp7665,seq3480 Nocardioides;mesophilus,seq2991 Nocardioides;mesophilus,seq1029 Nocardioides;mesophilus,seq760 Nocardioides;mesophilus
Control.CSUSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4760,0,0,0,0,0,0,33,0,179,0,0,0,61,0,0,266,0,0,0,0,23,0,0,50,0,0,110,39,11,80,0,0,0,0,0,47,98,0,0,148,0,206,0,0,0,0,0,13,0,163,0,94,202,24,0,0,929,12,0,0,0,0,285,0,0,0,0,0,0,12,20,0,64,219,111
Zeus.CSUSM,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,11,0,2233,0,0,0,0,0,0,48,0,72,0,0,0,44,19,0,143,11,0,0,11,0,0,44,47,30,0,118,59,0,96,0,0,0,0,0,0,108,0,0,85,0,122,0,0,0,0,0,0,0,87,0,13,142,0,0,0,740,0,17,21,0,0,200,0,0,0,0,0,0,0,0,0,0,0,66
Brewers.Gold.CSUSM,0,0,0,0,18,0,0,0,0,11,0,0,11,0,0,0,0,29,3272,56,0,0,0,0,0,28,0,101,0,0,0,0,0,0,176,0,0,0,0,31,0,0,19,31,22,68,0,0,27,0,0,0,0,0,42,103,0,22,258,33,229,0,0,0,0,0,0,0,103,0,30,181,0,0,0,527,0,0,17,0,0,191,0,0,0,0,0,0,0,0,13,0,0,46
Neo1.CSUSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073,0,45,62,0,0,0,0,0,113,0,0,0,0,0,0,46,0,0,0,0,0,0,94,153,0,20,78,0,0,0,0,0,0,31,0,32,152,0,0,143,37,176,0,0,0,0,0,0,0,67,0,26,259,0,0,0,395,0,0,0,0,0,95,0,0,0,0,0,0,0,0,14,0,35,61
Comet.CSUSM,0,0,0,0,80,31,25,63,25,0,0,11,0,0,0,0,0,0,4441,0,0,0,42,38,22,61,67,178,0,0,0,63,0,0,394,22,0,0,0,0,0,0,40,63,0,211,82,0,45,18,35,32,17,0,75,191,0,0,261,0,213,14,16,25,12,21,0,28,453,0,158,216,14,0,0,1366,0,0,24,0,0,780,0,0,93,0,0,0,20,0,0,0,84,73
Columbus.CSUSM,22,0,0,84,24,0,0,26,0,0,0,0,0,15,0,0,0,0,4403,0,0,0,0,31,25,30,47,114,0,0,0,52,0,0,232,133,0,17,0,0,0,0,25,46,0,82,54,15,38,0,11,0,0,0,44,218,0,0,168,28,157,0,0,0,0,0,0,0,147,0,45,388,0,0,0,786,0,0,16,0,30,409,0,22,0,12,0,0,0,25,20,0,55,80
Saaz72.CSUSM,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,94,0,0,0,0,0,0,0,34,0,32,0,0,0,22,0,0,0,0,0,0,128,0,0,126,0,115,0,0,0,0,0,0,0,60,30,22,77,0,0,0,516,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,27
Sorachi.Ace.CSUSM,403,0,14,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,58,18,101,0,249,0,0,0,90,0,15,199,0,11,0,0,27,30,0,51,74,0,281,160,12,62,0,0,0,0,0,0,128,12,0,169,0,158,0,0,0,0,0,0,0,31,0,24,88,0,0,0,523,0,0,19,0,0,205,0,12,0,0,0,0,0,0,0,0,34,75
Southern.Cross.CSUSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1990,0,0,68,0,0,0,17,0,93,0,0,0,0,0,0,123,0,0,0,0,27,0,0,16,12,0,55,35,0,28,0,0,0,0,0,0,136,0,0,105,0,111,0,0,0,0,0,0,0,47,0,23,77,0,0,0,386,0,0,13,0,0,130,0,0,14,0,0,0,0,36,0,0,0,49
Hallertauer.CSUSM,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,151,13,19,58,42,0,0,355,0,0,0,0,0,0,0,34,0,0,41,0,0,26,0,0,0,0,13,55,221,0,0,148,0,123,0,0,0,0,0,0,0,29,0,31,95,0,12,13,425,0,0,46,12,41,249,11,0,0,0,38,0,0,0,0,0,0,24
