sample_id,seq4 Nocardioides;sp7655,seq51 Nocardioides;islandensis,seq178 Nocardioides;aquiterrae,seq260 Nocardioides;terrae,seq294 Nocardioides;islandensis,seq303 Nocardioides;halotolerans,seq302 Nocardioides;halotolerans,seq340 Nocardioides;halotolerans,seq384 Nocardioides;albus-fulvus,seq445 Nocardioides;islandensis,seq486 Nocardioides;sp7692,seq760 Nocardioides;mesophilus,seq970 Nocardioides;sp7692,seq883 Nocardioides;opuntiae-panacihumi,seq990 Nocardioides;sp7676,seq1032 Nocardioides;terrae,seq955 Nocardioides;islandensis,seq1029 Nocardioides;mesophilus,seq1162 Nocardioides;albus-fulvus,seq1206 Nocardioides;sp7678,seq1291 Nocardioides;halotolerans,seq1431 Nocardioides;albus,seq2027 Nocardioides;opuntiae-panacihumi,seq1830 Nocardioides;terrae,seq2077 Nocardioides;marinus,seq2097 Nocardioides;albus-fulvus,seq2023 Nocardioides;opuntiae-panacihumi,seq2231 Nocardioides;sp7678,seq2407 Nocardioides;halotolerans,seq2552 Nocardioides;tritolerans,seq2621 Nocardioides;terrae,seq2184 Nocardioides;sp7679,seq1824 Nocardioides;marinus,seq2991 Nocardioides;mesophilus,seq2671 Nocardioides;sp7665,seq2851 Nocardioides;aquiterrae,seq3128 Nocardioides;sp7692,seq3196 Nocardioides;sp7655,seq3537 Nocardioides;sp7655,seq3295 Nocardioides;sp7696,seq3823 Nocardioides;terrigena,seq4275 Nocardioides;sp7655-sp7696,seq4266 Nocardioides;islandensis,seq1893 Nocardioides;caricicola,seq4235 Nocardioides;opuntiae-panacihumi,seq3428 Nocardioides;dilutus,seq4155 Nocardioides;dilutus,seq4638 Nocardioides;sp7655,seq3006 Nocardioides;tritolerans,seq2985 Nocardioides;sp7676,seq3647 Nocardioides;marinus,seq2785 Nocardioides;albus,seq4214 Nocardioides;sp7654-sp7670,seq4383 Nocardioides;islandensis,seq4377 Nocardioides;mesophilus,seq3512 Nocardioides;opuntiae-panacihumi,seq5486 Nocardioides;islandensis,seq6048 Nocardioides;sp7659,seq4013 Nocardioides;nitrophenolicus,seq6597 Nocardioides;sp7655-sp7696,seq6493 Nocardioides;islandensis,seq6415 Nocardioides;halotolerans,seq6151 Nocardioides;islandensis,seq3815 Nocardioides;sp7676,seq6503 Nocardioides;kribbensis-sp7679,seq4152 Nocardioides;mesophilus,seq6555 Nocardioides;sp7696,seq6664 Nocardioides;sp7696,seq6047 Nocardioides;islandensis,seq6649 Nocardioides;conyzicola,seq6901 Nocardioides;sp7655-sp7696,seq6238 Nocardioides;halotolerans,seq6638 Nocardioides;sp7696,seq5899 Nocardioides;panacisoli,seq5793 Nocardioides;sp7655-sp7696,seq6390 Nocardioides;marinquilinus,seq4613 Nocardioides;marinisabuli,seq4925 Nocardioides;islandensis,seq5269 Nocardioides;opuntiae-panacihumi,seq5701 Nocardioides;terrae,seq5114 Nocardioides;daedukensis-sp7692,seq6520 Nocardioides;sp7669,seq3480 Nocardioides;mesophilus,seq5345 Nocardioides;terrae,seq4588 Nocardioides;terrae,seq6653 Nocardioides;sp7693,seq3998 Nocardioides;halotolerans,seq3832 Nocardioides;sp7669,seq6444 Nocardioides;aquiterrae,seq4601 Nocardioides;marinquilinus,seq5509 Nocardioides;plantarum,seq6732 Nocardioides;sp7655-sp7696,seq5788 Nocardioides;terrae,seq5135 Nocardioides;sp7693
Control.CSUSM,0.0165,0.0032,0.0009,0.0009,0.0007,0.0007,0.0005,0.0003,0.0006,0.0005,0.0003,0.0003,0.0001,0.0001,0.0002,0,0.0003,0.0007,0.0002,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0102,0.0034,0.0009,0.0006,0.0006,0.0005,0.0003,0.0004,0.0003,0.0003,0.0005,0.0003,0.0002,0.0002,0.0004,0,0,0,0.0002,0.0002,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0146,0.0023,0.0008,0.0007,0.0008,0.001,0.0011,0.0004,0.0004,0.0004,0.0003,0.0002,0,0,0.0001,0,0.0001,0,0,0.0001,0.0001,0.0001,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0.0002,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0094,0.0017,0.0004,0.0002,0.0011,0.0007,0.0006,0.0006,0.0005,0.0003,0.0003,0.0002,0,0.0006,0,0,0.0001,0.0001,0,0,0.0001,0,0.0004,0,0.0002,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0169,0.0052,0.0029,0.0015,0.0008,0.0008,0.0009,0.0007,0.0006,0.0017,0.0008,0.0002,0.0003,0.0001,0.0001,0,0.0006,0.0003,0.0002,0.0002,0.0002,0.0002,0,0,0,0.0001,0,0.0002,0,0.0002,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.018,0.0032,0.0016,0.0009,0.0015,0.0006,0.0006,0.0008,0.0004,0.0006,0.0003,0.0003,0.0002,0.0001,0.0001,0,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0,0.0005,0,0.0001,0,0.0001,0.0001,0.0001,0.0003,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0105,0.0025,0.0004,0.0004,0.0003,0.0005,0.0006,0.0006,0.0004,0.0002,0,0.0001,0,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0083,0.0019,0.0007,0.0007,0.0003,0.0005,0.0006,0.0004,0.0009,0.0001,0.001,0.0002,0.0006,0.0001,0.0002,0.0015,0,0.0001,0.0003,0.0003,0,0.0002,0,0,0,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.009,0.0017,0.0005,0.0005,0.0003,0.0005,0.0004,0.0006,0.0004,0.0002,0.0002,0.0002,0.0001,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0.0003,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0116,0.0017,0.001,0.0014,0.0003,0.0004,0.0005,0.0008,0.0006,0.0001,0.0001,0,0,0.0001,0.0001,0,0.0001,0,0.0001,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0002,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
