Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1032 Nocardioides;terrae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0015	1e-06	1e-06	1e-06
seq2621 Nocardioides;terrae	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06
seq1824 Nocardioides;marinus	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2552 Nocardioides;tritolerans	1e-06	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq3006 Nocardioides;tritolerans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq4638 Nocardioides;sp7655	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq3295 Nocardioides;sp7696	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq4 Nocardioides;sp7655	0.0165	0.0102	0.0146	0.0094	0.0169	0.018	0.0105	0.0083	0.009	0.0116	0.0091
seq3196 Nocardioides;sp7655	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3537 Nocardioides;sp7655	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2077 Nocardioides;marinus	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq3647 Nocardioides;marinus	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2097 Nocardioides;albus-fulvus	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0002	1e-06	1e-06	1e-06
seq2985 Nocardioides;sp7676	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1206 Nocardioides;sp7678	0.0001	0.0002	0.0001	1e-06	0.0002	0.0001	1e-06	0.0003	1e-06	1e-06	1e-06
seq2231 Nocardioides;sp7678	1e-06	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq384 Nocardioides;albus-fulvus	0.0006	0.0003	0.0004	0.0005	0.0006	0.0004	0.0004	0.0009	0.0004	0.0006	0.0002
seq3128 Nocardioides;sp7692	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06
seq1162 Nocardioides;albus-fulvus	0.0002	0.0002	1e-06	1e-06	0.0002	0.0002	1e-06	0.0003	1e-06	0.0001	1e-06
seq260 Nocardioides;terrae	0.0009	0.0006	0.0007	0.0002	0.0015	0.0009	0.0004	0.0007	0.0005	0.0014	0.0002
seq1830 Nocardioides;terrae	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06
seq2023 Nocardioides;opuntiae-panacihumi	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0001
seq2027 Nocardioides;opuntiae-panacihumi	1e-06	0.0002	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq883 Nocardioides;opuntiae-panacihumi	0.0001	0.0002	1e-06	0.0006	0.0001	0.0001	0.0001	0.0001	1e-06	0.0001	0.0003
