Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq174 Pedomicrobium;sp43627	0.0011	0.001	0.0014	0.001	0.0013	0.0016	0.0004	0.0011	0.0008	0.0003	0.0009
seq636 Pedomicrobium;sp43634	0.0001	0.0004	0.0002	1e-06	0.0001	0.0002	0.0001	0.0006	0.0007	0.0001	0.0004
seq5990 Pedomicrobium;sp43634	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq242 Pedomicrobium;sp43634	0.0007	0.0005	0.0005	0.0009	0.0011	0.0012	0.0004	0.0009	0.0015	0.0009	0.0004
seq1665 Pedomicrobium;sp43632	1e-06	1e-06	1e-06	0.0004	0.0001	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06
seq1560 Pedomicrobium;sp43632	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	0.0004	0.0001
seq244 Pedomicrobium;sp43632	0.0005	0.0008	0.0011	0.0004	0.0006	0.0005	0.0003	0.0009	0.0011	0.002	0.0005
seq3321 Pedomicrobium;sp43624	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq794 Pedomicrobium;sp43624	1e-06	1e-06	1e-06	1e-06	0.0004	0.0003	1e-06	0.001	0.0003	1e-06	0.0001
seq3130 Pedomicrobium;sp43624	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq622 Pedomicrobium;sp43621	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0004	0.0002	0.0003	0.0003	0.0006
seq6206 Pedomicrobium;sp43625	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq367 Pedomicrobium;sp43626	0.0001	0.0001	0.0005	0.0004	0.0011	0.001	0.0002	0.0001	0.0016	0.0003	0.0003
seq4781 Pedomicrobium;sp43623	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq56 Pedomicrobium;sp43623	0.0034	0.002	0.0014	0.0036	0.0029	0.0024	0.0029	0.0019	0.0025	0.0017	0.0021
seq71 Pedomicrobium;sp43623	0.0014	0.001	0.0012	0.0036	1e-06	0.001	0.0104	0.0008	0.0024	0.0014	0.0019
