sample_id,seq1992 Pseudolabrys;sp44512-sp44514,seq6850 Pseudolabrys;sp44512-sp44514,seq3119 Pseudolabrys;sp44512,seq4883 Pseudolabrys;sp44512-sp44514,seq808 Pseudolabrys;sp44512-sp44514,seq5267 Pseudolabrys;sp44512,seq339 Pseudolabrys;sp44514,seq6890 Pseudolabrys;sp44512,seq965 Pseudolabrys;sp44515,seq4162 Pseudolabrys;sp44515,seq1817 Pseudolabrys;sp44518,seq3252 Pseudolabrys;sp44518,seq4337 Pseudolabrys;sp44521,seq4538 Pseudolabrys;sp44521,seq893 Pseudolabrys;sp44507-sp44602,seq662 Pseudolabrys;sp44519,seq57 Pseudolabrys;sp44504,seq5016 Pseudolabrys;sp44504-sp44598,seq1053 Pseudolabrys;sp44504,seq1844 Pseudolabrys;sp44504,seq98 Pseudolabrys;sp44504,seq1448 Pseudolabrys;sp44504,seq270 Pseudolabrys;sp44504,seq3696 Pseudolabrys;sp44504,seq5903 Pseudolabrys;sp44511,seq280 Pseudolabrys;sp44505,seq4733 Pseudolabrys;sp44502-sp44511-sp44516,seq86 Pseudolabrys;sp44511,seq3367 Pseudolabrys;sp44502-sp44516,seq6539 Pseudolabrys;sp44502,seq2183 Pseudolabrys;sp44511,seq3757 Pseudolabrys;sp44511,seq2893 Pseudolabrys;sp44502,seq61 Pseudolabrys;sp44502,seq948 Pseudolabrys;sp44503-sp44505-sp44517,seq1809 Pseudolabrys;sp44503,seq1282 Pseudolabrys;sp44517,seq543 Pseudolabrys;sp44503,seq958 Pseudolabrys;sp44503,seq4256 Pseudolabrys;sp44503-sp44517,seq1090 Pseudolabrys;sp44503
Control.CSUSM,0,0,0,0,70,0,21,0,62,0,17,14,0,0,118,105,1615,0,0,37,472,0,877,0,0,211,0,1234,14,0,36,0,13,369,0,44,0,0,69,30,0
Zeus.CSUSM,0,0,0,0,0,0,152,0,36,0,24,0,11,0,28,58,676,0,0,0,462,30,330,0,0,100,0,316,0,0,19,0,0,614,0,0,20,63,33,0,0
Brewers.Gold.CSUSM,0,0,0,0,22,0,70,0,13,0,0,15,0,0,40,101,559,0,64,0,398,16,0,41,0,220,0,697,22,0,41,0,0,442,0,0,0,208,0,0,0
Neo1.CSUSM,0,0,12,0,47,0,140,0,104,0,0,0,0,0,63,203,280,0,189,0,498,0,271,0,0,26,0,286,0,0,0,16,16,356,0,0,19,0,0,0,72
Comet.CSUSM,0,0,0,0,0,0,189,0,78,0,0,13,0,0,21,0,380,20,37,0,146,0,62,0,0,26,23,301,0,0,0,12,0,289,0,0,0,53,160,0,43
Columbus.CSUSM,0,0,0,22,0,0,64,0,14,0,0,0,0,0,22,78,396,0,60,0,349,19,0,0,14,122,0,261,0,0,0,0,13,724,0,0,0,99,0,0,0
Saaz72.CSUSM,0,11,0,0,281,0,33,11,37,0,18,0,0,0,49,69,734,0,0,68,244,13,90,0,0,47,0,206,0,12,0,0,0,363,0,0,0,0,0,0,130
Sorachi.Ace.CSUSM,0,0,13,0,0,0,180,0,26,0,29,0,0,0,41,46,673,0,0,0,947,71,0,0,0,845,0,446,0,0,0,0,14,1270,215,55,34,137,61,0,38
Southern.Cross.CSUSM,0,0,0,0,178,18,302,0,38,0,19,0,0,26,30,59,318,0,60,0,321,38,200,0,0,186,0,714,14,0,0,12,0,529,85,0,55,108,55,0,69
Hallertauer.CSUSM,142,0,0,0,0,0,278,0,65,0,30,12,0,0,0,0,347,0,0,57,348,24,120,0,0,0,0,398,0,0,22,0,13,358,0,69,139,185,50,0,32
Fuggle.UK,0,0,34,0,0,0,120,0,0,32,30,0,18,0,107,27,454,0,0,0,431,39,0,0,0,96,0,192,0,0,0,0,0,779,182,0,32,92,50,0,0
