sample_id,seq57 Pseudolabrys;sp44504,seq61 Pseudolabrys;sp44502,seq86 Pseudolabrys;sp44511,seq98 Pseudolabrys;sp44504,seq270 Pseudolabrys;sp44504,seq280 Pseudolabrys;sp44505,seq339 Pseudolabrys;sp44514,seq543 Pseudolabrys;sp44503,seq662 Pseudolabrys;sp44519,seq808 Pseudolabrys;sp44512-sp44514,seq948 Pseudolabrys;sp44503-sp44505-sp44517,seq958 Pseudolabrys;sp44503,seq893 Pseudolabrys;sp44507-sp44602,seq1053 Pseudolabrys;sp44504,seq1090 Pseudolabrys;sp44503,seq965 Pseudolabrys;sp44515,seq1282 Pseudolabrys;sp44517,seq1448 Pseudolabrys;sp44504,seq1844 Pseudolabrys;sp44504,seq1809 Pseudolabrys;sp44503,seq1992 Pseudolabrys;sp44512-sp44514,seq1817 Pseudolabrys;sp44518,seq2183 Pseudolabrys;sp44511,seq4162 Pseudolabrys;sp44515,seq3696 Pseudolabrys;sp44504,seq4538 Pseudolabrys;sp44521,seq3119 Pseudolabrys;sp44512,seq4256 Pseudolabrys;sp44503-sp44517,seq3252 Pseudolabrys;sp44518,seq5016 Pseudolabrys;sp44504-sp44598,seq4733 Pseudolabrys;sp44502-sp44511-sp44516,seq5267 Pseudolabrys;sp44512,seq3757 Pseudolabrys;sp44511,seq4337 Pseudolabrys;sp44521,seq6539 Pseudolabrys;sp44502,seq4883 Pseudolabrys;sp44512-sp44514,seq2893 Pseudolabrys;sp44502,seq6890 Pseudolabrys;sp44512,seq5903 Pseudolabrys;sp44511,seq3367 Pseudolabrys;sp44502-sp44516,seq6850 Pseudolabrys;sp44512-sp44514
Control.CSUSM,0.0056,0.0012,0.0043,0.0016,0.003,0.0007,0,0,0.0003,0.0002,0,0.0002,0.0004,0,0,0.0002,0,0,0.0001,0.0001,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0031,0.0028,0.0014,0.0021,0.0015,0.0004,0.0006,0.0002,0.0002,0,0,0.0001,0.0001,0,0,0.0001,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0024,0.0019,0.0031,0.0017,0,0.0009,0.0003,0.0009,0.0004,0,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0012,0.0016,0.0012,0.0022,0.0012,0.0001,0.0006,0,0.0009,0.0002,0,0,0.0002,0.0008,0.0003,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0014,0.0011,0.0011,0.0005,0.0002,0,0.0007,0.0002,0,0,0,0.0006,0,0.0001,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0016,0.0029,0.001,0.0014,0,0.0005,0.0002,0.0004,0.0003,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0035,0.0017,0.001,0.0011,0.0004,0.0002,0.0001,0,0.0003,0.0013,0,0,0.0002,0,0.0006,0.0001,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0025,0.0047,0.0016,0.0035,0,0.0031,0.0006,0.0005,0.0001,0,0.0008,0.0002,0.0001,0,0.0001,0,0.0001,0.0002,0,0.0002,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0014,0.0024,0.0032,0.0014,0.0009,0.0008,0.0013,0.0004,0.0002,0.0008,0.0003,0.0002,0.0001,0.0002,0.0003,0.0001,0.0002,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0013,0.0014,0.0016,0.0014,0.0004,0,0.0011,0.0007,0,0,0,0.0002,0,0,0.0001,0.0002,0.0005,0,0.0002,0.0002,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuggle.UK,0.0023,0.004,0.0009,0.0022,0,0.0004,0.0006,0.0004,0.0001,0,0.0009,0.0002,0.0005,0,0,0,0.0001,0.0002,0,0,0,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
