Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1992 Pseudolabrys;sp44512-sp44514	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06
seq6850 Pseudolabrys;sp44512-sp44514	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3119 Pseudolabrys;sp44512	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq4883 Pseudolabrys;sp44512-sp44514	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq808 Pseudolabrys;sp44512-sp44514	0.0002	1e-06	1e-06	0.0002	1e-06	1e-06	0.0013	1e-06	0.0008	1e-06	1e-06
seq5267 Pseudolabrys;sp44512	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq339 Pseudolabrys;sp44514	1e-06	0.0006	0.0003	0.0006	0.0007	0.0002	0.0001	0.0006	0.0013	0.0011	0.0006
seq6890 Pseudolabrys;sp44512	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq965 Pseudolabrys;sp44515	0.0002	0.0001	1e-06	0.0004	0.0002	1e-06	0.0001	1e-06	0.0001	0.0002	1e-06
seq4162 Pseudolabrys;sp44515	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq1817 Pseudolabrys;sp44518	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	0.0001
seq3252 Pseudolabrys;sp44518	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4337 Pseudolabrys;sp44521	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4538 Pseudolabrys;sp44521	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq893 Pseudolabrys;sp44507-sp44602	0.0004	0.0001	0.0001	0.0002	1e-06	1e-06	0.0002	0.0001	0.0001	1e-06	0.0005
seq662 Pseudolabrys;sp44519	0.0003	0.0002	0.0004	0.0009	1e-06	0.0003	0.0003	0.0001	0.0002	1e-06	0.0001
seq57 Pseudolabrys;sp44504	0.0056	0.0031	0.0024	0.0012	0.0014	0.0016	0.0035	0.0025	0.0014	0.0013	0.0023
seq5016 Pseudolabrys;sp44504-sp44598	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1053 Pseudolabrys;sp44504	1e-06	1e-06	0.0002	0.0008	0.0001	0.0002	1e-06	1e-06	0.0002	1e-06	1e-06
seq1844 Pseudolabrys;sp44504	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	0.0002	1e-06
seq98 Pseudolabrys;sp44504	0.0016	0.0021	0.0017	0.0022	0.0005	0.0014	0.0011	0.0035	0.0014	0.0014	0.0022
seq1448 Pseudolabrys;sp44504	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	0.0002
seq270 Pseudolabrys;sp44504	0.003	0.0015	1e-06	0.0012	0.0002	1e-06	0.0004	1e-06	0.0009	0.0004	1e-06
seq3696 Pseudolabrys;sp44504	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5903 Pseudolabrys;sp44511	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq280 Pseudolabrys;sp44505	0.0007	0.0004	0.0009	0.0001	1e-06	0.0005	0.0002	0.0031	0.0008	1e-06	0.0004
seq4733 Pseudolabrys;sp44502-sp44511-sp44516	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq86 Pseudolabrys;sp44511	0.0043	0.0014	0.0031	0.0012	0.0011	0.001	0.001	0.0016	0.0032	0.0016	0.0009
seq3367 Pseudolabrys;sp44502-sp44516	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6539 Pseudolabrys;sp44502	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2183 Pseudolabrys;sp44511	0.0001	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3757 Pseudolabrys;sp44511	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2893 Pseudolabrys;sp44502	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq61 Pseudolabrys;sp44502	0.0012	0.0028	0.0019	0.0016	0.0011	0.0029	0.0017	0.0047	0.0024	0.0014	0.004
seq948 Pseudolabrys;sp44503-sp44505-sp44517	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	0.0003	1e-06	0.0009
seq1809 Pseudolabrys;sp44503	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	0.0002	1e-06
seq1282 Pseudolabrys;sp44517	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	0.0005	0.0001
seq543 Pseudolabrys;sp44503	1e-06	0.0002	0.0009	1e-06	0.0002	0.0004	1e-06	0.0005	0.0004	0.0007	0.0004
seq958 Pseudolabrys;sp44503	0.0002	0.0001	1e-06	1e-06	0.0006	1e-06	1e-06	0.0002	0.0002	0.0002	0.0002
seq4256 Pseudolabrys;sp44503-sp44517	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1090 Pseudolabrys;sp44503	1e-06	1e-06	1e-06	0.0003	0.0001	1e-06	0.0006	0.0001	0.0003	0.0001	1e-06
