sample_id,seq36 Rhizomicrobium;sp44398,seq69 Rhizomicrobium;palustre,seq67 Rhizomicrobium;sp44403,seq189 Rhizomicrobium;sp44398,seq328 Rhizomicrobium;sp44398,seq360 Rhizomicrobium;palustre,seq460 Rhizomicrobium;sp44393,seq513 Rhizomicrobium;sp44399,seq548 Rhizomicrobium;sp44393,seq600 Rhizomicrobium;sp44399,seq696 Rhizomicrobium;sp44393,seq835 Rhizomicrobium;sp44397,seq938 Rhizomicrobium;sp44393-sp44402,seq1136 Rhizomicrobium;sp44396,seq1077 Rhizomicrobium;sp44398,seq1274 Rhizomicrobium;sp44397,seq1235 Rhizomicrobium;sp44404,seq1564 Rhizomicrobium;sp44398-sp44402,seq1480 Rhizomicrobium;sp44398,seq1484 Rhizomicrobium;sp44393,seq1514 Rhizomicrobium;sp44403,seq1754 Rhizomicrobium;palustre,seq1676 Rhizomicrobium;sp44398,seq1577 Rhizomicrobium;sp44402,seq1880 Rhizomicrobium;sp44398,seq1787 Rhizomicrobium;sp44401,seq1744 Rhizomicrobium;sp44398,seq1711 Rhizomicrobium;sp44393-sp44398-sp44402,seq2296 Rhizomicrobium;sp44398,seq1956 Rhizomicrobium;sp44403,seq2109 Rhizomicrobium;sp44398,seq2265 Rhizomicrobium;sp44398,seq2641 Rhizomicrobium;sp44404,seq2514 Rhizomicrobium;sp44399,seq2566 Rhizomicrobium;sp44393,seq2014 Rhizomicrobium;sp44402,seq2774 Rhizomicrobium;sp44403,seq3564 Rhizomicrobium;palustre,seq4260 Rhizomicrobium;sp44398,seq4415 Rhizomicrobium;sp44398,seq2924 Rhizomicrobium;sp44402,seq4408 Rhizomicrobium;sp44398,seq4006 Rhizomicrobium;palustre,seq2586 Rhizomicrobium;sp44398,seq4763 Rhizomicrobium;sp44403,seq3286 Rhizomicrobium;electricum,seq3711 Rhizomicrobium;sp44398,seq4262 Rhizomicrobium;sp44404,seq2505 Rhizomicrobium;sp44400,seq3677 Rhizomicrobium;palustre,seq3424 Rhizomicrobium;sp44399-sp44401,seq3899 Rhizomicrobium;sp44397,seq4457 Rhizomicrobium;sp44399,seq3514 Rhizomicrobium;sp44398,seq5948 Rhizomicrobium;sp44403,seq6799 Rhizomicrobium;sp44398,seq5039 Rhizomicrobium;sp44397-sp44398,seq6676 Rhizomicrobium;palustre,seq6670 Rhizomicrobium;sp44402,seq6674 Rhizomicrobium;sp44398,seq5553 Rhizomicrobium;sp44402,seq5596 Rhizomicrobium;electricum,seq3783 Rhizomicrobium;palustre,seq6422 Rhizomicrobium;sp44402,seq5448 Rhizomicrobium;sp44398,seq4614 Rhizomicrobium;sp44398,seq2881 Rhizomicrobium;sp44397,seq6260 Rhizomicrobium;sp44402,seq5042 Rhizomicrobium;sp44398,seq6218 Rhizomicrobium;palustre,seq3984 Rhizomicrobium;sp44402,seq6006 Rhizomicrobium;electricum-palustre-sp44400,seq5959 Rhizomicrobium;sp44404,seq5861 Rhizomicrobium;sp44402,seq6411 Rhizomicrobium;sp44398,seq5453 Rhizomicrobium;sp44402,seq5470 Rhizomicrobium;sp44404,seq6501 Rhizomicrobium;sp44398,seq4744 Rhizomicrobium;sp44397,seq6099 Rhizomicrobium;sp44404,seq4021 Rhizomicrobium;palustre,seq4099 Rhizomicrobium;sp44398-sp44402,seq5245 Rhizomicrobium;sp44402,seq5368 Rhizomicrobium;sp44398,seq6727 Rhizomicrobium;sp44398,seq6672 Rhizomicrobium;sp44404
Control.CSUSM,0.0036,0.0018,0.0062,0.0007,0.0002,0.0006,0.0003,0.0006,0.0007,0.0001,0,0.0001,0.0002,0,0.0002,0.0001,0.0007,0,0.0002,0,0,0,0.0002,0,0,0,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0034,0.0021,0.0073,0.0025,0.0008,0.0002,0,0.0004,0.0001,0.0003,0.0004,0.0001,0.0003,0.0002,0.0001,0.0002,0,0,0.0002,0.0003,0.0001,0,0.0002,0,0,0,0.0003,0,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.0053,0.002,0.0001,0.0009,0.0001,0.0009,0.0003,0,0.0006,0.0001,0,0.0002,0.0001,0,0.0002,0.0001,0,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0032,0.0011,0.0016,0.0014,0.0002,0.0008,0.001,0.0005,0.0003,0.0002,0,0.0002,0.0002,0.0001,0.0001,0.0001,0,0.0004,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0022,0.0026,0.0011,0.0003,0,0.0004,0.0001,0.0002,0.0001,0,0.0003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0024,0.0026,0.0007,0.0007,0,0.0007,0.0005,0.0001,0.0003,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0.0006,0,0,0.0001,0,0,0,0.0001,0.0003,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.004,0.0018,0.0007,0.0004,0.0017,0.0013,0.0007,0.0005,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0,0.0003,0,0.0001,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0022,0.0025,0.0017,0.0012,0.0012,0.0001,0.0002,0.0004,0.0003,0.0011,0.0003,0.0003,0.0002,0.0005,0.0002,0.0001,0,0,0,0.0003,0,0.0002,0,0,0,0.0006,0,0,0.0004,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.0036,0.0017,0.002,0.0009,0.0017,0.0005,0.0011,0.0007,0.0004,0.0003,0.0016,0.0002,0.0003,0,0.0002,0.0001,0,0,0.0002,0,0.0001,0.0001,0.0002,0.0003,0,0,0.0001,0.0002,0,0.0003,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0027,0.0027,0.001,0.0005,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0,0.0002,0.0001,0.0002,0.0001,0.0001,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
