Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq2014 Rhizomicrobium;sp44402	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001
seq2924 Rhizomicrobium;sp44402	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq938 Rhizomicrobium;sp44393-sp44402	0.0002	0.0003	0.0001	0.0002	1e-06	0.0001	0.0001	0.0002	0.0003	0.0001	0.0001
seq696 Rhizomicrobium;sp44393	1e-06	0.0004	1e-06	1e-06	0.0003	1e-06	0.0001	0.0003	0.0016	1e-06	0.0001
seq460 Rhizomicrobium;sp44393	0.0003	1e-06	0.0003	0.001	0.0001	0.0005	0.0007	0.0002	0.0011	0.0002	0.0001
seq2566 Rhizomicrobium;sp44393	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1484 Rhizomicrobium;sp44393	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	0.0001	0.0001
seq1711 Rhizomicrobium;sp44393-sp44398-sp44402	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0002	1e-06	1e-06
seq548 Rhizomicrobium;sp44393	0.0007	0.0001	0.0006	0.0003	0.0001	0.0003	0.0002	0.0003	0.0004	0.0003	0.0001
seq1577 Rhizomicrobium;sp44402	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	0.0003	0.0001	1e-06
seq1077 Rhizomicrobium;sp44398	0.0002	0.0001	0.0002	0.0001	1e-06	1e-06	1e-06	0.0002	0.0002	0.0001	0.0001
seq4408 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq3711 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq2296 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06
seq1744 Rhizomicrobium;sp44398	0.0001	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq2109 Rhizomicrobium;sp44398	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001
seq189 Rhizomicrobium;sp44398	0.0007	0.0025	0.0009	0.0014	0.0003	0.0007	0.0004	0.0012	0.0009	0.0005	0.0014
seq1880 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	1e-06	1e-06	1e-06	1e-06	1e-06
seq1274 Rhizomicrobium;sp44397	0.0001	0.0002	0.0001	0.0001	1e-06	1e-06	1e-06	0.0001	0.0001	0.0001	0.0002
seq835 Rhizomicrobium;sp44397	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0003	0.0002	0.0002	0.0003
seq2505 Rhizomicrobium;sp44400	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1787 Rhizomicrobium;sp44401	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	1e-06	1e-06	1e-06
seq3424 Rhizomicrobium;sp44399-sp44401	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq2586 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq36 Rhizomicrobium;sp44398	0.0036	0.0034	0.0053	0.0032	0.0022	0.0024	0.004	0.0022	0.0036	0.0027	0.0031
seq1564 Rhizomicrobium;sp44398-sp44402	1e-06	1e-06	0.0005	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq328 Rhizomicrobium;sp44398	0.0002	0.0008	0.0001	0.0002	1e-06	1e-06	0.0017	0.0012	0.0017	0.0002	0.0006
seq1480 Rhizomicrobium;sp44398	0.0002	0.0002	0.0001	1e-06	1e-06	1e-06	0.0001	1e-06	0.0002	1e-06	1e-06
seq1676 Rhizomicrobium;sp44398	0.0002	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06
seq4260 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2265 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001	1e-06	1e-06	0.0001
seq4415 Rhizomicrobium;sp44398	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq1956 Rhizomicrobium;sp44403	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq4763 Rhizomicrobium;sp44403	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq1136 Rhizomicrobium;sp44396	1e-06	0.0002	1e-06	0.0001	1e-06	1e-06	1e-06	0.0005	1e-06	0.0002	0.0003
seq513 Rhizomicrobium;sp44399	0.0006	0.0004	1e-06	0.0005	0.0002	0.0001	0.0005	0.0004	0.0007	0.0003	1e-06
seq600 Rhizomicrobium;sp44399	0.0001	0.0003	0.0001	0.0002	1e-06	0.0001	0.0001	0.0011	0.0003	0.0002	0.0006
seq2514 Rhizomicrobium;sp44399	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq2641 Rhizomicrobium;sp44404	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06
seq1514 Rhizomicrobium;sp44403	1e-06	0.0001	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	1e-06	0.0005
seq67 Rhizomicrobium;sp44403	0.0062	0.0073	0.0001	0.0016	0.0011	0.0007	0.0007	0.0017	0.002	0.001	0.0009
seq2774 Rhizomicrobium;sp44403	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1235 Rhizomicrobium;sp44404	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06
seq4262 Rhizomicrobium;sp44404	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3286 Rhizomicrobium;electricum	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq1754 Rhizomicrobium;palustre	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	0.0003
seq69 Rhizomicrobium;palustre	0.0018	0.0021	0.002	0.0011	0.0026	0.0026	0.0018	0.0025	0.0017	0.0027	0.0027
seq360 Rhizomicrobium;palustre	0.0006	0.0002	0.0009	0.0008	0.0004	0.0007	0.0013	0.0001	0.0005	0.0002	0.0002
seq4006 Rhizomicrobium;palustre	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq3564 Rhizomicrobium;palustre	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
