Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq2355 *Solibacter;sp2687-sp2698	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06
seq1890 *Solibacter;sp2698	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06
seq449 *Solibacter;sp2698	0.0011	0.0006	0.0001	0.0001	0.0002	0.0002	0.0003	0.0005	0.0005	1e-06	0.0008
seq1886 *Solibacter;sp2698	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	0.0001	0.0001
seq2068 *Solibacter;sp2687	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1601 *Solibacter;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	0.0001	0.0001
seq4583 *Solibacter;sp2658	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1161 *Solibacter;sp2706	0.0001	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	0.0001	0.0001
seq5018 *Solibacter;sp2711	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq615 *Solibacter;sp2711	0.0005	0.0002	0.0001	1e-06	0.0004	0.0006	0.0003	0.0001	0.0004	0.0002	0.0001
seq393 *Solibacter;sp2711	0.0002	1e-06	1e-06	0.0007	1e-06	0.0001	0.0029	0.0001	0.0004	0.0007	0.0007
seq4799 *Solibacter;sp2711	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq607 *Solibacter;sp2697	1e-06	0.0002	0.0001	0.0002	1e-06	1e-06	0.0016	0.0004	0.0004	0.0003	0.0001
seq4448 *Solibacter;sp2629-sp2661	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2801 *Solibacter;sp2607	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	0.0001
seq937 *Solibacter;sp2607	0.0002	1e-06	0.0002	0.0001	0.0002	1e-06	1e-06	1e-06	0.0004	0.0005	1e-06
seq4208 *Solibacter;sp2642-sp2700	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2387 *Solibacter;sp2642-sp2700	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq2299 *Solibacter;sp2642-sp2700	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06
seq323 *Solibacter;sp2642-sp2700	0.0017	1e-06	0.0009	0.0013	1e-06	0.0001	0.0004	1e-06	0.0003	0.0013	0.0003
seq248 *Solibacter;sp2642-sp2700	0.0003	0.0044	0.0004	0.0005	1e-06	0.0001	0.0001	0.0014	0.0005	0.0002	0.0012
seq785 *Solibacter;sp2642-sp2700	0.0006	1e-06	0.0002	1e-06	0.0001	1e-06	0.0001	0.0003	0.0001	0.0002	0.0006
seq693 *Solibacter;sp2608	0.0002	1e-06	0.0002	0.0002	0.0008	1e-06	1e-06	0.0001	0.0002	0.0006	0.0001
seq1311 *Solibacter;sp2631-sp2710-usitatus	0.0001	1e-06	0.0001	1e-06	0.0002	0.0001	0.0001	1e-06	0.0001	1e-06	1e-06
seq6010 *Solibacter;sp2608-sp2671	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq331 *Solibacter;sp2635-sp2675	0.0008	0.0005	0.0001	1e-06	0.0001	0.0001	0.0001	0.0003	0.0009	0.0023	0.0008
seq1166 *Solibacter;sp2635	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	0.0004	0.0004
seq1473 *Solibacter;sp2635	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	0.0001	1e-06	1e-06
seq2262 *Solibacter;sp2606-sp2635	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	0.0001	1e-06
seq4131 *Solibacter;sp2606	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2142 *Solibacter;sp2606	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq1343 *Solibacter;sp2606-sp2635	1e-06	1e-06	1e-06	1e-06	0.001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2314 *Solibacter;sp2606	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0001
seq6359 *Solibacter;sp2634-sp2675	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5082 *Solibacter;sp2634	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq406 *Solibacter;sp2634	0.002	1e-06	0.0002	0.0005	1e-06	1e-06	0.0008	1e-06	0.0007	0.0002	0.0004
seq3802 *Solibacter;sp2675	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq397 *Solibacter;sp2635	0.0002	0.0002	1e-06	0.0005	1e-06	1e-06	1e-06	0.0025	0.0002	0.0004	0.001
seq259 *Solibacter;sp2635	0.0014	0.0008	0.0013	0.0001	0.0002	0.0003	0.0006	0.0009	0.0002	0.0009	0.0016
seq6146 *Solibacter;sp2635-sp2675-sp2693	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq547 *Solibacter;sp2675	0.0002	0.0001	0.0011	0.0003	1e-06	0.0001	0.0001	1e-06	0.0015	0.0003	1e-06
seq2849 *Solibacter;sp2675-sp2693	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq6658 *Solibacter;sp2675	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1366 *Solibacter;sp2675	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	0.0002	1e-06	0.0001
