sample_id,seq1521 Sphingomonas;NA,seq3811 Sphingomonas;NA,seq908 Sphingomonas;NA,seq4554 Sphingomonas;NA,seq479 Sphingomonas;aquatilis-hunanensis-melonis,seq1570 Sphingomonas;aquatilis-hunanensis-melonis,seq4100 Sphingomonas;insulae-kyungheensis-sanxanigenens,seq931 Sphingomonas;insulae-kyungheensis-sanxanigenens,seq6104 Sphingomonas;insulae-kyungheensis-sanxanigenens,seq3871 Sphingomonas;insulae-kyungheensis-sanxanigenens,seq1197 Sphingomonas;aquatilis-hunanensis-melonis,seq1940 Sphingomonas;insulae-kyungheensis-sanxanigenens,seq5802 Sphingomonas;naasensis,seq2431 Sphingomonas;sp47921,seq6374 Sphingomonas;sp47916,seq1081 Sphingomonas;sp47872,seq37 Sphingomonas;sp47872,seq887 Sphingomonas;sp47872,seq2116 Sphingomonas;sp47872,seq2966 Sphingomonas;sp47900,seq5405 Sphingomonas;sp47900,seq292 Sphingomonas;sp47900,seq115 Sphingomonas;sp47878,seq6497 Sphingomonas;sp47878,seq4828 Sphingomonas;sp47872,seq5468 Sphingomonas;sp47878,seq6124 Sphingomonas;sp47875,seq3885 Sphingomonas;sp47925,seq2714 Sphingomonas;sp47850,seq3463 Sphingomonas;changbaiensis,seq6132 Sphingomonas;changbaiensis,seq3944 Sphingomonas;sp47858-sp47902,seq5874 Sphingomonas;sp47902,seq5828 Sphingomonas;sp47902,seq1774 Sphingomonas;oligoaromativorans,seq2599 Sphingomonas;sp47902,seq2166 Sphingomonas;sp47902,seq1782 Sphingomonas;sp47902,seq5366 Sphingomonas;starnbergensis-wittichii,seq644 Sphingomonas;sp47881,seq3965 Sphingomonas;sp47881,seq5033 Sphingomonas;sp47881,seq1001 Sphingomonas;daechungensis,seq6709 Sphingomonas;daechungensis-sp47923,seq2716 Sphingomonas;starnbergensis-wittichii,seq6779 Sphingomonas;starnbergensis-wittichii,seq1865 Sphingomonas;starnbergensis-wittichii,seq5410 Sphingomonas;laterariae,seq5938 Sphingomonas;starnbergensis-wittichii,seq1082 Sphingomonas;starnbergensis-wittichii,seq4301 Sphingomonas;starnbergensis,seq3341 Sphingomonas;starnbergensis-wittichii
Control.CSUSM,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,37,599,44,0,0,0,253,358,0,0,0,0,0,0,0,0,0,0,0,0,29,0,14,0,70,0,0,42,11,0,11,0,0,0,50,0,11
Zeus.CSUSM,0,0,21,0,31,0,0,44,0,0,0,0,0,0,0,0,969,0,13,0,0,186,96,0,0,0,0,0,67,0,0,0,0,0,0,0,27,0,0,22,0,20,0,0,0,0,24,0,0,23,0,0
Brewers.Gold.CSUSM,0,0,16,0,0,62,0,37,0,0,0,0,15,0,0,0,309,71,0,0,0,104,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,34,0,0,52,0,0,0,0,0,0,43,0,0
Neo1.CSUSM,0,0,0,0,75,59,0,18,0,0,0,0,0,0,0,0,193,0,112,17,0,0,301,0,0,17,0,0,0,0,0,0,0,0,0,0,64,0,0,54,0,0,92,0,0,0,0,0,0,31,0,0
Comet.CSUSM,37,0,0,0,78,0,0,122,0,0,42,0,0,0,0,239,1007,69,0,0,0,411,1592,12,0,0,0,0,0,0,13,0,0,0,0,0,0,54,0,136,0,0,99,0,0,0,0,0,0,39,0,14
Columbus.CSUSM,0,0,30,0,178,0,0,64,0,0,31,0,0,0,12,0,1365,64,0,0,0,133,598,0,0,0,0,13,0,0,0,36,0,0,0,25,0,0,0,53,0,0,43,0,0,0,14,0,0,32,0,11
Saaz72.CSUSM,109,0,210,0,406,0,0,0,0,0,0,0,0,0,0,24,1088,27,0,49,0,0,143,0,22,0,0,0,0,0,0,0,0,0,0,32,0,13,0,70,0,0,20,0,0,0,22,0,0,31,0,0
Sorachi.Ace.CSUSM,0,0,13,0,69,0,0,27,0,0,41,0,0,0,0,26,1013,55,0,0,0,449,144,0,0,0,13,0,0,0,0,0,0,0,0,0,0,33,17,68,35,0,24,0,31,0,32,0,0,69,0,15
Southern.Cross.CSUSM,36,0,217,0,214,87,33,58,0,0,60,0,0,0,0,36,816,58,0,0,17,78,293,0,0,0,0,0,12,47,0,0,0,0,49,0,0,0,0,44,0,0,36,0,23,0,0,0,0,29,0,0
Hallertauer.CSUSM,49,38,0,0,54,12,0,76,0,37,132,149,0,0,0,33,645,34,0,0,0,96,121,0,0,0,0,24,0,0,0,0,0,15,0,0,28,0,0,204,0,0,17,0,0,0,67,17,14,30,0,0
Fuggle.UK,0,0,0,26,0,0,0,20,13,0,30,0,0,97,0,0,339,101,0,0,0,130,67,0,0,0,0,0,0,0,0,0,14,0,125,0,0,31,0,17,0,0,20,0,25,0,0,0,0,18,29,0
