Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq1521 Sphingomonas;NA	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0005	1e-06	0.0001	0.0001	1e-06
seq3811 Sphingomonas;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq908 Sphingomonas;NA	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.001	1e-06	0.0009	1e-06	1e-06
seq4554 Sphingomonas;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq479 Sphingomonas;aquatilis-hunanensis-melonis	1e-06	0.0001	1e-06	0.0003	0.0002	0.0007	0.0019	0.0002	0.0009	0.0002	1e-06
seq1570 Sphingomonas;aquatilis-hunanensis-melonis	1e-06	1e-06	0.0002	0.0002	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06
seq4100 Sphingomonas;insulae-kyungheensis-sanxanigenens	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq931 Sphingomonas;insulae-kyungheensis-sanxanigenens	1e-06	0.0002	0.0001	1e-06	0.0004	0.0002	1e-06	0.0001	0.0002	0.0003	0.0001
seq6104 Sphingomonas;insulae-kyungheensis-sanxanigenens	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3871 Sphingomonas;insulae-kyungheensis-sanxanigenens	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1197 Sphingomonas;aquatilis-hunanensis-melonis	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0001	0.0002	0.0005	0.0001
seq1940 Sphingomonas;insulae-kyungheensis-sanxanigenens	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	1e-06
seq2431 Sphingomonas;sp47921	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005
seq6374 Sphingomonas;sp47916	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1081 Sphingomonas;sp47872	0.0001	1e-06	1e-06	1e-06	0.0009	1e-06	0.0001	1e-06	0.0001	0.0001	1e-06
seq37 Sphingomonas;sp47872	0.002	0.0044	0.0013	0.0008	0.0038	0.0055	0.0053	0.0038	0.0037	0.0026	0.0017
seq887 Sphingomonas;sp47872	0.0001	1e-06	0.0003	1e-06	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0005
seq2116 Sphingomonas;sp47872	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2966 Sphingomonas;sp47900	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06
seq5405 Sphingomonas;sp47900	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq292 Sphingomonas;sp47900	0.0008	0.0008	0.0004	1e-06	0.0015	0.0005	1e-06	0.0016	0.0003	0.0003	0.0006
seq115 Sphingomonas;sp47878	0.0012	0.0004	0.0005	0.0013	0.006	0.0024	0.0007	0.0005	0.0013	0.0004	0.0003
seq6497 Sphingomonas;sp47878	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4828 Sphingomonas;sp47872	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06
seq5468 Sphingomonas;sp47878	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6124 Sphingomonas;sp47875	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3885 Sphingomonas;sp47925	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2714 Sphingomonas;sp47850	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3463 Sphingomonas;changbaiensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06
seq6132 Sphingomonas;changbaiensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3944 Sphingomonas;sp47858-sp47902	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq5874 Sphingomonas;sp47902	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5828 Sphingomonas;sp47902	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1774 Sphingomonas;oligoaromativorans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	0.0006
seq2599 Sphingomonas;sp47902	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06
seq2166 Sphingomonas;sp47902	1e-06	0.0001	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1782 Sphingomonas;sp47902	1e-06	1e-06	0.0001	1e-06	0.0002	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001
seq5366 Sphingomonas;starnbergensis-wittichii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq644 Sphingomonas;sp47881	0.0002	0.0001	0.0001	0.0002	0.0005	0.0002	0.0003	0.0002	0.0001	0.0008	1e-06
seq3965 Sphingomonas;sp47881	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
