sample_id,seq60 Steroidobacter;sp65578,seq2 Steroidobacter;sp65578,seq114 Steroidobacter;sp65578,seq5499 Steroidobacter;sp65578,seq6505 Steroidobacter;sp65578,seq2144 Steroidobacter;sp65578,seq5070 Steroidobacter;sp65578,seq6791 Steroidobacter;sp65578,seq5720 Steroidobacter;sp65578,seq920 Steroidobacter;sp65578,seq5149 Steroidobacter;sp65578-sp65602,seq2567 Steroidobacter;sp65578,seq4441 Steroidobacter;sp65578,seq3188 Steroidobacter;sp65578,seq3699 Steroidobacter;sp65575,seq76 Steroidobacter;denitrificans,seq90 Steroidobacter;denitrificans,seq3574 Steroidobacter;sp65579,seq4449 Steroidobacter;sp65580,seq6365 Steroidobacter;agariperforans,seq2039 Steroidobacter;agariperforans,seq3395 Steroidobacter;agariperforans,seq3754 Steroidobacter;sp65575,seq444 Steroidobacter;agariperforans,seq3125 Steroidobacter;agariperforans
Control.CSUSM,472,3419,536,0,0,0,0,0,15,48,0,0,0,0,0,353,323,0,0,0,23,0,0,87,0
Zeus.CSUSM,683,2356,360,0,0,0,0,0,0,62,0,0,0,11,0,2127,269,0,0,0,0,0,0,142,0
Brewers.Gold.CSUSM,849,4672,609,0,12,45,0,0,0,49,0,0,0,0,0,124,301,0,0,0,16,0,0,59,0
Neo1.CSUSM,1091,3775,230,16,0,0,0,0,0,27,0,50,0,0,0,150,444,0,0,0,0,0,0,73,0
Comet.CSUSM,345,3341,211,0,0,0,0,0,0,26,0,38,27,0,0,542,800,0,27,0,0,0,0,75,28
Columbus.CSUSM,393,2566,180,0,0,0,0,0,0,39,0,0,0,0,0,61,359,0,0,0,27,0,0,101,12
Saaz72.CSUSM,319,2039,123,0,0,0,0,0,0,0,0,0,0,0,11,421,91,0,0,0,21,0,0,55,0
Sorachi.Ace.CSUSM,705,4646,493,0,0,39,20,11,0,44,0,0,0,16,18,622,466,0,0,12,0,0,0,186,0
Southern.Cross.CSUSM,315,2718,279,0,0,38,0,0,0,36,0,0,0,0,0,58,382,0,0,0,11,0,0,56,0
Hallertauer.CSUSM,306,3288,355,0,0,0,0,0,0,92,0,0,0,0,12,302,1216,44,0,0,38,49,0,110,0
Fuggle.UK,697,2771,472,0,0,0,0,0,0,76,19,0,0,29,0,712,327,0,0,0,0,0,40,246,18
