Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq60 Steroidobacter;sp65578	0.0016	0.0031	0.0037	0.0049	0.0013	0.0016	0.0015	0.0026	0.0014	0.0012	0.0036
seq2 Steroidobacter;sp65578	0.0119	0.0108	0.0208	0.0171	0.0127	0.0105	0.0099	0.0174	0.0123	0.0132	0.0143
seq114 Steroidobacter;sp65578	0.0018	0.0016	0.0027	0.001	0.0008	0.0007	0.0006	0.0018	0.0012	0.0014	0.0024
seq5499 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6505 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2144 Steroidobacter;sp65578	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06
seq5070 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6791 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5720 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq920 Steroidobacter;sp65578	0.0001	0.0002	0.0002	0.0001	1e-06	0.0001	1e-06	0.0001	0.0001	0.0003	0.0003
seq5149 Steroidobacter;sp65578-sp65602	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2567 Steroidobacter;sp65578	1e-06	1e-06	1e-06	0.0002	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4441 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3188 Steroidobacter;sp65578	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq3699 Steroidobacter;sp65575	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq76 Steroidobacter;denitrificans	0.0012	0.0097	0.0005	0.0006	0.002	0.0002	0.002	0.0023	0.0002	0.0012	0.0036
seq90 Steroidobacter;denitrificans	0.0011	0.0012	0.0013	0.002	0.003	0.0014	0.0004	0.0017	0.0017	0.0049	0.0016
seq3574 Steroidobacter;sp65579	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq4449 Steroidobacter;sp65580	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6365 Steroidobacter;agariperforans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2039 Steroidobacter;agariperforans	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06	0.0001	1e-06
seq3395 Steroidobacter;agariperforans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq3754 Steroidobacter;sp65575	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002
seq444 Steroidobacter;agariperforans	0.0003	0.0006	0.0002	0.0003	0.0002	0.0004	0.0002	0.0006	0.0002	0.0004	0.0012
seq3125 Steroidobacter;agariperforans	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
