sample_id,seq2370 Streptomyces;NA,seq604 Streptomyces;NA,seq6380 Streptomyces;sodiiphilus,seq1240 Streptomyces;NA,seq97 Streptomyces;NA,seq2812 Streptomyces;viridiviolaceus,seq840 Streptomyces;thermodiastaticus-thermoviolaceus,seq522 Streptomyces;thermodiastaticus-thermoviolaceus,seq5559 Streptomyces;thermoalcalitolerans,seq4355 Streptomyces;sulfonofaciens,seq5402 Streptomyces;sulfonofaciens,seq427 Streptomyces;NA,seq4431 Streptomyces;haliclonae-karpasiensis-marinus,seq5062 Streptomyces;NA,seq6367 Streptomyces;sp9731,seq5074 Streptomyces;NA,seq1463 Streptomyces;NA,seq1710 Streptomyces;aomiensis-catbensis-seranimatus,seq4228 Streptomyces;klenkii,seq2510 Streptomyces;glaucescens,seq493 Streptomyces;glaucescens,seq1842 Streptomyces;NA,seq3652 Streptomyces;NA,seq228 Streptomyces;NA,seq4156 Streptomyces;niveiscabiei,seq1883 Streptomyces;niveiscabiei,seq2967 Streptomyces;NA,seq4224 Streptomyces;candidus,seq5711 Streptomyces;alni,seq2692 Streptomyces;alni,seq5041 Streptomyces;alni,seq2979 Streptomyces;coacervatus-griseorubiginosus-phaeopurpureus,seq2378 Streptomyces;olivochromogenes-seymenliensis,seq1530 Streptomyces;hygroscopicus-tumescens,seq1954 Streptomyces;NA,seq3492 Streptomyces;NA,seq1905 Streptomyces;NA,seq5546 Streptomyces;NA,seq4075 Streptomyces;NA,seq1937 Streptomyces;NA,seq6514 Streptomyces;NA,seq3976 Streptomyces;NA
Control.CSUSM,36,0,0,100,367,0,0,24,16,0,0,27,27,20,12,20,0,99,0,0,30,0,0,0,0,132,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,37,108,0,81,243,0,40,86,0,29,0,138,0,0,0,0,104,23,18,0,139,0,0,1224,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,59,0,0
Brewers.Gold.CSUSM,0,0,0,31,137,0,0,32,0,0,0,12,0,0,0,0,43,0,0,0,0,34,42,229,0,0,0,0,0,50,0,0,22,38,95,0,0,0,0,0,0,0
Neo1.CSUSM,0,0,0,0,996,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0,223,0,67,530,0,530,643,0,0,0,755,0,0,0,0,0,29,13,91,689,0,0,103,0,0,66,0,0,0,0,0,78,191,0,0,0,0,0,63,0,0
Columbus.CSUSM,0,104,12,0,338,73,0,45,0,0,0,140,0,0,0,0,0,24,0,0,135,0,0,325,0,25,0,0,0,0,0,12,0,0,17,0,0,0,0,28,0,0
Saaz72.CSUSM,0,59,0,0,104,0,0,0,0,0,0,11,0,0,0,0,19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,28,107,0,0,564,0,0,37,0,0,0,22,0,0,0,0,53,0,0,0,0,52,0,0,0,0,0,0,0,0,0,37,0,0,0,0,28,0,0,0,0,35
Southern.Cross.CSUSM,0,54,0,35,398,0,0,70,0,0,0,43,0,0,0,0,0,0,0,0,47,77,0,60,19,0,0,0,0,0,20,16,0,0,17,0,0,0,0,0,12,0
Hallertauer.CSUSM,0,111,0,0,417,0,0,32,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,203,0,0,0,0,0,0,0,0,0,0,0,46,127,0,0,0,0,0
Fuggle.UK,0,67,0,0,563,0,0,32,0,0,17,44,0,0,0,0,26,0,0,0,0,0,0,150,0,0,0,31,0,0,0,0,0,0,0,0,0,16,33,0,0,0
