Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq2370 Streptomyces;NA	0.0001	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq604 Streptomyces;NA	1e-06	0.0004	1e-06	1e-06	0.0008	0.0004	0.0002	0.0004	0.0002	0.0004	0.0003
seq6380 Streptomyces;sodiiphilus	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1240 Streptomyces;NA	0.0003	0.0003	0.0001	1e-06	0.0002	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06
seq97 Streptomyces;NA	0.0012	0.0011	0.0006	0.0045	0.002	0.0013	0.0005	0.0021	0.0018	0.0016	0.0029
seq2812 Streptomyces;viridiviolaceus	1e-06	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq840 Streptomyces;thermodiastaticus-thermoviolaceus	1e-06	0.0001	1e-06	1e-06	0.002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq522 Streptomyces;thermodiastaticus-thermoviolaceus	1e-06	0.0003	0.0001	1e-06	0.0024	0.0001	1e-06	0.0001	0.0003	0.0001	0.0001
seq5559 Streptomyces;thermoalcalitolerans	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4355 Streptomyces;sulfonofaciens	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5402 Streptomyces;sulfonofaciens	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq427 Streptomyces;NA	1e-06	0.0006	1e-06	0.0002	0.0028	0.0005	1e-06	1e-06	0.0001	1e-06	0.0002
seq4431 Streptomyces;haliclonae-karpasiensis-marinus	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5062 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq6367 Streptomyces;sp9731	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5074 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1463 Streptomyces;NA	1e-06	0.0004	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001
seq1710 Streptomyces;aomiensis-catbensis-seranimatus	0.0003	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4228 Streptomyces;klenkii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2510 Streptomyces;glaucescens	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq493 Streptomyces;glaucescens	0.0001	0.0006	1e-06	1e-06	0.0026	0.0005	1e-06	1e-06	0.0002	1e-06	1e-06
seq1842 Streptomyces;NA	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0003	1e-06	1e-06
seq3652 Streptomyces;NA	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq228 Streptomyces;NA	1e-06	0.0056	0.001	1e-06	0.0003	0.0013	1e-06	1e-06	0.0002	0.0008	0.0007
seq4156 Streptomyces;niveiscabiei	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1883 Streptomyces;niveiscabiei	0.0004	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq2967 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4224 Streptomyces;candidus	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq5711 Streptomyces;alni	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2692 Streptomyces;alni	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5041 Streptomyces;alni	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2979 Streptomyces;coacervatus-griseorubiginosus-phaeopurpureus	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq2378 Streptomyces;olivochromogenes-seymenliensis	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1530 Streptomyces;hygroscopicus-tumescens	1e-06	1e-06	0.0001	1e-06	0.0007	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1954 Streptomyces;NA	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3492 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq1905 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	0.0005	1e-06
seq5546 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4075 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq1937 Streptomyces;NA	1e-06	0.0002	1e-06	1e-06	0.0002	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06
seq6514 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3976 Streptomyces;NA	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
