sample_id,seq19 Variibacter;sp44542,seq88 Variibacter;sp44571-sp44573,seq151 Variibacter;sp44578,seq159 Variibacter;sp44534,seq220 Variibacter;sp44554,seq261 Variibacter;sp44573,seq412 Variibacter;sp44547,seq472 Variibacter;sp44570,seq514 Variibacter;sp44553,seq677 Variibacter;sp44542-sp44603,seq589 Variibacter;sp44553-sp44643,seq582 Variibacter;sp44547,seq621 Variibacter;sp44564,seq664 Variibacter;sp44579,seq675 Variibacter;sp44573,seq726 Variibacter;sp44543-sp44564,seq906 Variibacter;sp44554,seq992 Variibacter;sp44564,seq1063 Variibacter;sp44547,seq1184 Variibacter;sp44543,seq1207 Variibacter;sp44571-sp44602,seq1442 Variibacter;sp44571,seq1296 Variibacter;sp44544,seq1682 Variibacter;sp44565,seq2209 Variibacter;sp44547,seq2433 Variibacter;sp44543,seq2384 Variibacter;sp44571-sp44573-sp44575,seq2134 Variibacter;sp44569,seq3036 Variibacter;sp44570,seq2724 Variibacter;sp44552,seq3870 Variibacter;sp44554-sp44575,seq4524 Variibacter;sp44543-sp44564,seq3594 Variibacter;sp44564,seq3405 Variibacter;sp44547,seq2944 Variibacter;sp44553-sp44572,seq4418 Variibacter;sp44570-sp44594,seq4140 Variibacter;sp44543,seq6679 Variibacter;sp44542,seq5500 Variibacter;sp44544,seq5697 Variibacter;sp44565,seq5059 Variibacter;sp44547,seq6057 Variibacter;sp44571,seq6823 Variibacter;sp44573,seq5588 Variibacter;sp44543,seq5582 Variibacter;sp44536,seq4180 Variibacter;sp44554,seq4764 Variibacter;sp44581-sp44595,seq4949 Variibacter;sp44540-sp44594,seq4327 Variibacter;sp44571,seq5474 Variibacter;sp44555,seq4535 Variibacter;sp44553-sp44598,seq5218 Variibacter;sp44555,seq4967 Variibacter;sp44547,seq5888 Variibacter;sp44547,seq4299 Variibacter;sp44570-sp44594,seq5158 Variibacter;sp44543,seq5120 Variibacter;sp44554-sp44565,seq5539 Variibacter;sp44543,seq6014 Variibacter;sp44542-sp44594-sp44603,seq4070 Variibacter;sp44570,seq5714 Variibacter;sp44535,seq3949 Variibacter;sp44543-sp44641
Control.CSUSM,0.0052,0.0014,0.0006,0.0005,0,0.0005,0.0004,0.0004,0.0006,0.0001,0,0.0012,0.0002,0,0.0001,0.0001,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus.CSUSM,0.0048,0.0025,0.0011,0.0008,0.0005,0.0006,0.0002,0.0001,0.0004,0.0001,0.0005,0.0002,0.0001,0.0002,0.0001,0.0001,0,0.0001,0.0003,0,0.0001,0.0003,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewers.Gold.CSUSM,0.005,0.0023,0.0006,0.0007,0.0003,0.0016,0.0008,0.0004,0.0003,0,0.0002,0.0005,0.0005,0,0.0002,0.0002,0,0.0002,0,0,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neo1.CSUSM,0.0024,0.0029,0.0014,0.0014,0.0005,0.0018,0,0.0005,0.0001,0,0.0001,0.0001,0.0003,0.0002,0.0002,0.0003,0.0002,0.0001,0.0003,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet.CSUSM,0.0052,0.0011,0.0014,0.0013,0.0011,0.0003,0.0003,0.0001,0.0001,0,0,0.0002,0.0004,0.0001,0.0003,0.0001,0,0.0003,0,0,0,0,0.0001,0,0.0004,0,0,0.0001,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus.CSUSM,0.0109,0.0017,0.001,0.0025,0.0004,0.0005,0.0003,0.0001,0.0003,0.0002,0.0002,0,0.0003,0.0002,0.0003,0.0003,0,0.0002,0.0001,0,0.0001,0,0,0.0001,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saaz72.CSUSM,0.0063,0.0019,0.001,0.0008,0.0014,0.0007,0.0009,0.0002,0.0001,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001,0.0003,0.0001,0,0.0002,0.0009,0,0,0,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorachi.Ace.CSUSM,0.0026,0.0016,0.0014,0.001,0.0004,0.0006,0.0002,0.0001,0.0009,0,0.0006,0.0001,0.0002,0.0002,0.0004,0.0002,0.0002,0.0001,0,0,0.0004,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern.Cross.CSUSM,0.004,0.002,0.0012,0.001,0.0019,0.0009,0.001,0.0008,0.0005,0.0005,0.0002,0.0002,0.0003,0.0004,0.0006,0.0005,0.0003,0.0002,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hallertauer.CSUSM,0.0025,0.0013,0.0015,0.0006,0.0022,0.0004,0.0005,0.001,0.0001,0.0003,0.0004,0.0004,0.0002,0.001,0.0002,0.0001,0.0008,0.0002,0.0004,0,0,0,0,0,0,0.0003,0,0,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
