Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq261 Variibacter;sp44573	0.0005	0.0006	0.0016	0.0018	0.0003	0.0005	0.0007	0.0006	0.0009	0.0004	0.0006
seq2384 Variibacter;sp44571-sp44573-sp44575	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06
seq675 Variibacter;sp44573	0.0001	0.0001	0.0002	0.0002	0.0003	0.0003	0.0001	0.0004	0.0006	0.0002	0.0001
seq1682 Variibacter;sp44565	0.0001	1e-06	0.0002	1e-06	1e-06	0.0001	1e-06	1e-06	0.0001	1e-06	1e-06
seq220 Variibacter;sp44554	1e-06	0.0005	0.0003	0.0005	0.0011	0.0004	0.0014	0.0004	0.0019	0.0022	0.001
seq3870 Variibacter;sp44554-sp44575	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq906 Variibacter;sp44554	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	0.0001	0.0002	0.0003	0.0008	0.0003
seq726 Variibacter;sp44543-sp44564	0.0001	0.0001	0.0002	0.0003	0.0001	0.0003	0.0003	0.0002	0.0005	0.0001	0.0002
seq3594 Variibacter;sp44564	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4524 Variibacter;sp44543-sp44564	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06
seq2433 Variibacter;sp44543	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0003	1e-06
seq1184 Variibacter;sp44543	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	0.0009	1e-06	0.0001	1e-06	0.0001
seq5158 Variibacter;sp44543	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4140 Variibacter;sp44543	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3949 Variibacter;sp44543-sp44641	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4764 Variibacter;sp44581-sp44595	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq514 Variibacter;sp44553	0.0006	0.0004	0.0003	0.0001	0.0001	0.0003	0.0001	0.0009	0.0005	0.0001	0.0002
seq1296 Variibacter;sp44544	1e-06	0.0002	0.0001	1e-06	0.0001	1e-06	1e-06	0.0001	0.0001	1e-06	1e-06
seq5500 Variibacter;sp44544	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq159 Variibacter;sp44534	0.0005	0.0008	0.0007	0.0014	0.0013	0.0025	0.0008	0.001	0.001	0.0006	0.0015
seq992 Variibacter;sp44564	1e-06	0.0001	0.0002	0.0001	0.0003	0.0002	1e-06	0.0001	0.0002	0.0002	0.0001
seq621 Variibacter;sp44564	0.0002	0.0001	0.0005	0.0003	0.0004	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002
seq1442 Variibacter;sp44571	0.0001	0.0003	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0002	1e-06	0.0001
seq6057 Variibacter;sp44571	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1207 Variibacter;sp44571-sp44602	1e-06	0.0001	1e-06	1e-06	1e-06	0.0001	1e-06	0.0004	0.0001	1e-06	0.0002
seq4327 Variibacter;sp44571	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq151 Variibacter;sp44578	0.0006	0.0011	0.0006	0.0014	0.0014	0.001	0.001	0.0014	0.0012	0.0015	0.0014
seq88 Variibacter;sp44571-sp44573	0.0014	0.0025	0.0023	0.0029	0.0011	0.0017	0.0019	0.0016	0.002	0.0013	0.0027
seq472 Variibacter;sp44570	0.0004	0.0001	0.0004	0.0005	0.0001	0.0001	0.0002	0.0001	0.0008	0.001	0.0006
seq3036 Variibacter;sp44570	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001
seq4070 Variibacter;sp44570	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4418 Variibacter;sp44570-sp44594	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	1e-06	1e-06	1e-06
seq2724 Variibacter;sp44552	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001
seq677 Variibacter;sp44542-sp44603	0.0001	0.0001	1e-06	1e-06	1e-06	0.0002	0.0003	1e-06	0.0005	0.0003	0.0016
seq19 Variibacter;sp44542	0.0052	0.0048	0.005	0.0024	0.0052	0.0109	0.0063	0.0026	0.004	0.0025	0.0022
seq589 Variibacter;sp44553-sp44643	1e-06	0.0005	0.0002	0.0001	1e-06	0.0002	0.0001	0.0006	0.0002	0.0004	0.0008
seq2944 Variibacter;sp44553-sp44572	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq4535 Variibacter;sp44553-sp44598	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq664 Variibacter;sp44579	1e-06	0.0002	1e-06	0.0002	0.0001	0.0002	0.0002	0.0002	0.0004	0.001	0.0003
seq6014 Variibacter;sp44542-sp44594-sp44603	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq4949 Variibacter;sp44540-sp44594	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2134 Variibacter;sp44569	1e-06	1e-06	1e-06	1e-06	0.0001	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06
seq5474 Variibacter;sp44555	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2209 Variibacter;sp44547	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq3405 Variibacter;sp44547	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
seq582 Variibacter;sp44547	0.0012	0.0002	0.0005	0.0001	0.0002	1e-06	0.0001	0.0001	0.0002	0.0004	1e-06
seq412 Variibacter;sp44547	0.0004	0.0002	0.0008	1e-06	0.0003	0.0003	0.0009	0.0002	0.001	0.0005	0.0006
seq4967 Variibacter;sp44547	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1063 Variibacter;sp44547	1e-06	0.0003	1e-06	0.0003	1e-06	0.0001	0.0002	1e-06	0.0002	0.0004	1e-06
seq5714 Variibacter;sp44535	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
