	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0529131	0.0234424	0.0140061	0.00778711	0.00446907	0.00130423	0.000912039	0.000277699	0.000264781	0.00042275	0	0	0	0	0	0	0	0	0
d3_1	0.0111624	0.0131667	0.0143149	0.0122226	0.00696076	0.00402411	0.00378876	0.00100805	0.0011108	0.000371297	0	0	0	0	0	0	0	0	0	0
d3_2	0.00568569	0.00937648	0.0110866	0.00966513	0.00856231	0.00621698	0.00366761	0.00264872	0.00153633	6.23274e-07	1.90159e-07	0.000317599	1.75662e-07	0	0	0	0	0	0	0
d3_3	0.00405421	0.00771165	0.00529234	0.00966575	0.00951801	0.00869503	0.00527006	0.00386027	0.00154913	0.0015684	0.000667004	1.92092e-08	4.44903e-07	0.000317062	0	0	0	0	0	0
d3_4	0.000199733	0.00294857	0.00444493	0.00501891	0.00964831	0.00753332	0.00521797	0.00259671	0.00693244	0.000827102	0.00179861	0.000795425	0.000424014	0	0	0	0	0	0	0
d3_5	0.000909008	0.00192034	0.00376971	0.00746145	0.00810306	0.00633719	0.00619969	0.00692766	0.00395355	0.00205006	0.00162216	0.00174488	0.0014061	0.00042275	0	0	0	0	0	0
d3_6	0.000113641	0.00130691	0.00154544	0.0052574	0.00559929	0.00616206	0.00726468	0.00448826	0.00393157	0.00388423	0.00273122	0.000826915	0.000740826	0.000423054	0	0	0	0	0	0
d3_7	9.16149e-05	0.00231726	0.00268091	0.00357714	0.00282904	0.00553258	0.00667597	0.00454013	0.00398639	0.00412864	0.00440143	0.00214865	0.00227417	0.00111008	0.000106566	0	0.000740145	0	0	0
d3_8	3.65963e-06	4.82498e-06	0.000541714	0.00234188	0.00383737	0.00537204	0.00409511	0.0057678	0.00553992	0.00511495	0.00579214	0.00185252	0.000582127	0.000531014	0.000581648	0.000317192	0	0	0	0
d3_9	2.41896e-06	0.000322149	0.000588304	0.0013964	0.00594231	0.00242267	0.00265631	0.00504261	0.00397733	0.00414414	0.00320772	0.00463831	0.00202151	0.000845857	0.000634378	0.000317442	0	2.48823e-07	0	0
d3_10	3.19172e-07	8.85866e-07	2.26291e-06	0.000693376	0.00262911	0.00115243	0.00526782	0.0051503	0.00575059	0.00410149	0.00422485	0.00473947	0.00410462	0.00338402	0.000687907	0.0020411	0.000582056	0	0	0
d3_11	1.76651e-07	5.90214e-07	1.94706e-06	0.000161614	0.000725383	0.0010637	0.00160486	0.00252531	0.00425894	0.00311361	0.00348853	0.00469144	0.00331302	0.00212739	0.00195717	0.00317111	0.00063461	0.000422856	0.000105774	0
d3_12	1.78159e-08	1.70599e-07	2.48156e-07	0.000160699	0.000775445	0.000955734	0.00030045	0.000883918	0.00247142	0.00488049	0.00548638	0.005534	0.00417732	0.0029206	0.00354229	0.00222082	0.00179807	0	0	0
d3_13	0	9.2874e-07	0.000105814	0.000984436	1.17213e-06	0.000297709	0.00169807	0.0025964	0.00270187	0.00402226	0.00459337	0.00331261	0.00347228	0.00423217	0.00484358	0.00108868	0.00195652	0.00158558	0.00137407	0
d3_14	0	1.25506e-07	0	2.09043e-07	7.77899e-07	0.000106996	0.000637553	0.000901511	0.000690369	0.00289074	0.00417921	0.00365047	0.00344071	0.00500534	0.00433769	0.00311975	0.0029396	0.000899032	0.000634125	0
d3_15	0	7.38219e-08	0	4.23256e-07	0.000106242	3.74807e-07	0.000402451	0.0015887	0.00183257	0.00201115	0.00220227	0.00310075	0.00511001	0.00343884	0.00450823	0.00549846	0.00433472	0.00111017	0.000845891	0.000317062
d3_16	0	0	0	0	6.07993e-07	2.24192e-07	0.000106709	0.000319575	0.000720694	0.00193621	0.000637929	0.00717157	0.000635296	0.00310229	0.00523588	0.00708472	0.00317269	0.00185099	0.00169145	0
d3_17	0	0	0	0	0	0	0.000423371	0	5.32421e-07	0.000318448	0.000952406	0.00137538	0.00364759	0.00383993	0.00534124	0.00655668	0.00554997	0.0020087	0.00406944	0.00243125
d3_18	0	0	0	0	0	0	0	8.55715e-08	0.00045547	5.31294e-05	0.000159468	0.00127026	0.00211573	0.00304811	0.00436717	0.00541321	0.00558121	0.00634419	0.00475709	0.00274793
d3_19	0	0	0	0	0	0	0	0	3.7296e-09	3.58147e-08	0.000296295	0.00132223	0.00105866	0.00253838	0.00296201	0.00465364	0.00660824	0.0075054	0.00528551	0.00465076
d3_20	0	0	0	0	0	0	0	0	0	0.00047629	0	0.000191526	0.000793535	0.000898619	0.00301398	0.00526527	0.00777024	0.0104659	0.0238906	0.0172296
