	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.020104	0.00480917	0.00245914	0.00054764	0.00224651	0.00156632	0.000291751	0.00184985	2.10823e-05	0.000682005	0.000543009	0.0020206	0.00163647	0.0038447	0.00637702	0.00778083	0.00989755	0.00276545
d3_1	0.0281747	0.00706673	0.00307046	0.000125904	0.000178375	0.000394892	0.000321401	0.00017792	0.00022782	0.000588188	0.00230226	5.91066e-06	0.000717303	0.00111517	0.00124563	0.00402064	0.00732515	0.00707194	0.00540785
d3_2	0.0253963	0.00872583	0.00250481	0.000723935	0.00121154	6.27713e-05	7.99592e-06	5.48933e-06	0.0005296	0.000584537	0.000368429	0.000606814	0.000243973	0.00202667	0.00351156	0.00332291	0.00601606	0.00738582	0.00419358
d3_3	0.0222463	0.00881115	0.00292108	0.00081074	0.000609246	3.90405e-06	4.83463e-06	0.000841386	0.000223613	0.000496422	0.000222335	0.000170813	0.000771964	0.00109889	0.00254938	0.00446602	0.00440636	0.00469797	0.00295796
d3_4	0.0146219	0.0107347	0.00381632	0.00116385	0.00120908	0.000363192	0.000857964	2.63061e-06	1.59686e-06	3.22928e-06	0.0002777	3.14497e-06	0.000827595	0.00173199	0.00228232	0.00419567	0.00642275	0.00558471	0.00339241
d3_5	0.0150075	0.00485639	0.0025048	0.00175365	0.000276023	0.00049408	1.96576e-06	0.000600219	1.24679e-06	0.00016761	0.000437275	3.20593e-06	0.000276261	0.000607808	0.00246057	0.00392364	0.00666967	0.00660243	0.00437752
d3_6	0.014033	0.00699983	0.00534152	0.0015529	0.000494642	0.00109463	6.7435e-07	0.00103929	0.000492381	0.00016518	0.000197974	0.000220952	0.00114715	0.000111425	0.00219094	0.00173288	0.00713729	0.00498776	0.00317008
d3_7	0.0121496	0.00967347	0.0018618	0.00249503	0.000822954	4.15728e-07	0.000601816	0.000276859	2.33734e-05	0.000274561	0.000165435	0.000493476	0.000437563	0.000637134	0.000984646	0.000968333	0.00180726	0.0086302	0.00493357
d3_8	0.0123513	0.00783989	0.00203932	0.00159804	5.64907e-05	0.00060479	0.000164866	0.000435932	0.000176518	0.00027433	1.54437e-06	0.000548284	0.000109504	0.000326985	0.00156279	0.00268114	0.00603756	0.00602438	0.00404275
d3_9	0.0120763	0.00846417	0.00473594	0.000588852	0.00142307	0.000384899	0.000382766	0.000274564	0.000165207	5.55516e-05	2.43328e-07	0.000437424	0.000493714	0.00120191	0.000327455	0.00128862	0.00336468	0.00623366	0.00540585
d3_10	0.0089119	0.0111729	0.0044011	0.00317635	0.00153177	0.000929262	5.47309e-08	1.01704e-08	1.13535e-06	2.7175e-07	1.42546e-07	0	0.00022183	0.000818464	0.000982788	0.00207344	0.00283627	0.0080188	0.00655233
d3_11	0.00734471	0.00650638	0.00485152	0.00156539	0.000234155	0.00131075	0.000327228	0.000523342	2.70477e-07	0.000108962	5.45175e-05	5.81025e-07	0.000601163	1.85251e-07	0.000981863	0.000712609	0.0033838	0.00516518	0.00637832
d3_12	0.00598463	0.00840167	0.00698031	0.00234943	0.00131132	0.000490705	1.26358e-08	0.000383211	0.000108962	0	1.40787e-07	0.000491782	0.000165156	0	4.8027e-09	0.00120426	0.0015816	0.00463649	0.00589009
d3_13	0.00465912	0.0104358	0.00217187	0.00132659	0.000764812	0.000383157	0.000545086	0.000492927	0	0.000108962	0	5.48587e-05	0.000327008	6.18007e-07	0.000490395	0.00185697	0.00060368	0.00545931	0.0058898
d3_14	0.00392443	0.00560366	0.00686637	0.00120419	0.00141809	0	0.000762735	5.47711e-05	8.99757e-07	5.08152e-07	0.000326887	0.000653773	0	0.000762735	0.000326887	0.00119997	0.00327137	0.00398374	0.00812293
d3_15	0.00512507	0.00649477	0.00633751	0.0030595	0.00207565	0.000435885	9.40643e-07	0.000108962	0.000326942	0	0	0.000435849	1.75476e-07	0.000524443	0	0.00108962	0.00120268	0.00201699	0.0063279
d3_16	0.00361999	0.00591978	0.00525496	0.00377236	0.00163881	0.000981553	0.000437366	0.000109049	2.47814e-07	0.000108962	0	5.94922e-08	0.00038363	0.000437351	0.000762977	0.000328093	0.00245336	0.00566958	0.00665563
d3_17	0.00340617	0.00453894	0.00289536	0.00273042	0.0016373	0.000437164	0.000656137	0.000110352	0	0.000328295	0	0.000327492	2.351e-07	7.49463e-09	0.000326901	0.000435849	0.00152673	0.00562144	0.0092099
d3_18	0.00360389	0.00554721	0.00431903	0.00251227	0.00261847	0.00130935	0.000109224	0.000435849	0	0.000326887	0.000326887	0	0	0.000108962	0.000654014	0.000326887	0.00130755	0.0037592	0.0118823
d3_19	0.00458679	0.0043143	0.00530032	0.00229186	0.00109273	0.000328154	0.000600525	0	0.00141856	0.000326887	0.000110455	0	0	0	0	0	0.00130876	0.00348791	0.0104687
d3_20	0.00120185	0.00655011	0.00447528	0.00414895	0.00240067	0.000872829	0.00098066	0	0.000326887	0	0.00098066	0	0.000762735	0.00098066	0.000108962	0.000981597	0.0017434	0.0055099	0.0124269
