	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0450756	0.0290594	0.0149361	0.00507036	0.00303975	0.00142321	0.00108399	0.000522559	3.31182e-05	2.80515e-05	2.98879e-05	2.19395e-05	2.9042e-05	7.15921e-05	1.70828e-05	0.000118285	0.000171679	1.48124e-05	0.000201556	0.000422643	1.06738e-05	0.000631258	0.000113415	1.43208e-05	1.14738e-05	1.24158e-05	0.000237917	0.000334085	0.000376581	0.000538724	0.00385712	0.00274184	0.00293882	0.00478185	0.00609141	0.00737485	0.00574863	0.00548846	0.00248786	0.0006211	0.00041003
d3_1	0.019648	0.0143531	0.0135065	0.00852866	0.00391324	0.00473302	0.000157217	0.000290848	0.00087413	0.000566932	1.32287e-06	2.68782e-06	1.40117e-06	2.04389e-06	7.56087e-07	1.66298e-06	0.000104789	0.000156616	2.19027e-06	1.44734e-06	1.46398e-06	1.68919e-06	1.20714e-06	1.19826e-06	7.41899e-07	2.09949e-06	2.13237e-06	4.46253e-06	0.000291303	2.2198e-06	0.00077276	0.00119266	0.00148271	0.00267924	0.00430339	0.00489409	0.00602977	0.00446278	0.00422723	0.00212022	0.0010793	0.00061534
d3_2	0.00859018	0.00727835	0.00609017	0.00618321	0.00230868	0.0019909	0.00116155	0.000568758	0.000821734	0.000463087	0.000410969	5.03011e-07	1.66528e-07	1.45867e-06	1.68532e-07	4.48273e-07	5.56341e-07	3.51167e-07	6.74117e-07	8.3711e-05	8.86644e-07	2.16186e-07	5.17062e-07	5.58443e-07	5.25038e-05	0.00041131	3.10533e-05	5.1709e-05	0.000463294	0.000462537	0.000187317	0.00056993	0.00196724	0.00205966	0.00137756	0.00349477	0.00241738	0.0042528	0.00236707	0.00149073	0.0015915	0.000801337
d3_3	0.00511533	0.00320208	0.0051426	0.00189564	0.00280926	0.00241408	0.000237319	0.00107686	1.16433e-06	5.2799e-05	5.31311e-05	0	0.000153985	5.60133e-07	6.18289e-07	5.87432e-07	8.31003e-05	2.53823e-07	1.29224e-07	6.46211e-08	2.361e-07	5.18909e-07	7.93559e-07	7.71459e-08	7.48221e-07	1.95084e-07	2.21721e-05	0.000104245	2.33456e-06	0.000546317	0.000858393	0.000570823	0.000705893	0.000988444	0.00111477	0.00185134	0.0033627	0.00396434	0.00290451	0.00170303	0.00110885	0.000821511
d3_4	0.00283875	0.00381653	0.00363882	0.00283319	0.000549415	0.00254773	0.00128378	0.000102779	1.5932e-05	3.06223e-07	0.000103487	0	1.27273e-08	3.23185e-07	0.000103116	5.1712e-09	0.000410479	1.68528e-07	4.00552e-07	1.05809e-07	3.49564e-07	0	4.29243e-07	3.73823e-08	1.709e-07	7.72565e-08	0.000185278	7.53762e-07	0.000207491	5.26931e-05	0.000208052	0.000412886	0.00175762	0.000518235	0.00185048	0.00169972	0.00260852	0.00041421	0.00218744	0.00218577	0.00048253	0.000698206
d3_5	0.00367049	0.00584713	0.00284839	0.00320178	0.00369	0.00150079	0.000874701	0.00100762	0.000102853	0.000102598	1.90027e-07	2.118e-08	0	2.49703e-08	0.000307597	8.51355e-08	6.30402e-08	2.09682e-07	3.1979e-08	5.33422e-07	0	1.86638e-08	5.74297e-08	8.21062e-07	0.000154989	1.51643e-07	4.55937e-07	5.22918e-05	0.000769631	1.85708e-06	0.000118109	0.000876164	0.000309126	0.00136632	0.00139206	0.00126258	0.00126749	0.00202758	0.00196076	0.000749601	0.0012608	0.000461291
d3_6	0.00543052	0.00300035	0.00397372	0.00227125	0.00217424	0.00152067	0.000103386	0.000155155	0.000666311	4.8076e-08	0	2.34477e-07	9.75357e-08	3.30696e-08	0	4.04659e-07	0	0.000135044	0	3.83823e-07	0	5.23747e-05	0	5.86646e-08	0.000308038	0	0	3.02991e-07	1.71206e-09	6.13196e-07	1.7259e-07	0.000105494	0.000885948	0.00139757	0.00110926	0.00178152	0.00137926	0.00184633	0.00239076	0.0029243	0.000615886	0.000307513
d3_7	0.00728714	0.00536542	0.00400829	0.00208316	0.000598123	0.00187951	0.00154364	0.000821024	5.24994e-05	0.000821858	4.17138e-07	0.000717896	0	0	0	0	0	0	3.81482e-08	5.18301e-05	0	0.000410052	0.00041077	3.194e-05	0.00010338	0.000153998	5.495e-07	0	4.73523e-08	0.000154886	1.48867e-08	0.000340247	0.000290221	0.000258276	0.000154934	0.000802488	0.00146884	0.00305963	0.000800176	0.000667087	0.00126161	0.00071753
d3_8	0.00412086	0.00333659	0.00282114	0.00371388	0.00236573	0.00165021	0.00174649	0.0014867	0.00077104	0.000103438	4.61674e-08	3.77823e-08	0	0	0	0.000154449	0	1.66396e-08	1.08706e-07	2.05737e-07	0	0	0	1.5573e-07	0.000513133	0	5.47884e-07	7.81677e-08	0.000648283	0.000154592	0	0.000442619	0.000514838	0.000873661	0.00123334	0.00113333	0.00244313	0.00192913	0.000873073	0.000615638	0.00071753	0.000410017
d3_9	0.00272726	0.00393665	0.00177332	0.00238968	0.00249589	0.0024249	0.00218578	0.000717531	4.43323e-08	0.00015495	0	0	0	0	0	0	0	0	2.03369e-08	0	7.20301e-08	2.24319e-07	0	0	0	0	0	0	8.60935e-07	0	0	0.000718306	1.95897e-06	0.000598432	0.00212448	0.00138831	0.000649819	0.00123153	0.00378746	0.00143574	0.00189691	0.000768782
