	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0271756	0.0063626	0.00376554	0.0021489	0.00279793	0.00326462	0.00198307	0.00375921	0.000689594	0.00221301	0.00203916	0.00222025	0.00316549	0.00498846	0.00889451	0.00830085	0.0128976	0.0066959
d3_1	0.0263523	0.00683264	0.00307972	0.0010754	0.00166786	6.15176e-05	0.000218333	0.000219439	0.000747855	8.9164e-05	0.000429608	0.000831313	0.000811269	0.00154397	0.00284758	0.00507793	0.002884	0.0069642	0.0065821
d3_2	0.0212825	0.00737472	0.00135074	0.000938026	5.86483e-05	0.000989749	0.000161854	0.000108115	2.52837e-06	0.000991298	0.000851494	0.000830083	0.0016805	0.000830139	0.00138272	0.00293224	0.00609832	0.0066559	0.00440498
d3_3	0.0203454	0.00649353	0.00222529	0.00120297	0.000671519	0.000745837	0.00033296	0.000617873	0.000510761	2.51491e-06	0.000321303	0.00014037	0.000426004	0.00138156	0.00270845	0.00242154	0.00496861	0.00887335	0.00393805
d3_4	0.0124455	0.00617712	0.00303598	0.000968026	0.000407903	0.000850746	0.000108513	0.000109146	0.00100847	0.00132807	2.38026e-06	0.000458336	0.000639194	0.000235326	0.00157147	0.00285692	0.0057799	0.00448822	0.00604672
d3_5	0.0154252	0.00660921	0.00163098	0.00224159	0.00120146	0.000638543	0.000106806	0.000318808	0.000743561	0.000934739	0.000213	0.000193419	0.000564694	0.00171363	0.000616555	0.00139105	0.00679784	0.00799053	0.00363995
d3_6	0.0136769	0.00529441	0.00444447	0.00215954	0.00111463	0.000351119	0.000425066	1.35984e-06	6.48957e-07	0.000319333	0.000330332	0.000159646	0.000584762	0.000372509	0.00137889	0.0017306	0.00567557	0.00201657	0.00435984
d3_7	0.013761	0.00610347	0.00176885	0.00106274	0.000742503	0.000955086	1.48184e-07	8.60377e-05	0.000477739	0.000530548	2.82216e-07	5.8456e-07	0.000404301	0.00013928	0.00132672	0.00430817	0.00291698	0.00706325	0.00562156
d3_8	0.0101499	0.00422313	0.0035602	0.0013072	0.000266075	0.000773975	0.000212909	3.94279e-07	0.000213074	7.69341e-07	0.000901898	0.000330922	0.00016027	0.00164426	0.000530579	0.00175078	0.00480588	0.00519695	0.006362
d3_9	0.0131535	0.00589289	0.00178484	0.000532978	1.0844e-07	0.000265526	5.35628e-05	2.88542e-08	0.000424102	1.97595e-08	0.000318912	0.000425139	0	0.000159732	0.000423972	0.0012735	0.00180489	0.00456059	0.00718981
d3_10	0.0120297	0.00576205	0.0040354	0.00164509	0.00104143	0.00109315	0.000159288	0.000318303	0.000191444	4.17607e-07	7.29893e-07	0.000445917	0.000105992	0.000635871	0.000424449	0.00135902	0.00307622	0.00372197	0.00858746
d3_11	0.0104716	0.00666603	0.0020212	0.00208193	0.000318213	5.37337e-05	0.000212625	0.000318011	0.000159561	5.66196e-07	0.000477217	5.82532e-08	0.000106298	0.00021199	2.95071e-07	0.00048883	0.00116793	0.00289379	0.00580906
d3_12	0.00902785	0.00758524	0.00496806	0.00137929	0.000509825	0.00106033	0.000106355	8.53139e-05	0.000635853	1.75937e-08	0.000106295	8.35726e-07	0	0.000614844	0.000159482	0.000795723	0.00286238	0.00153796	0.00477082
d3_13	0.00693656	0.00754679	0.00382193	0.0037123	0.00132678	5.3369e-05	0.000615587	0.000106056	0	0.000318144	0.000318007	1.634e-07	0	0.000742343	0.000424038	0.00084892	0.000954907	0.00411449	0.00713306
d3_14	0.00540139	0.00327713	0.00530544	0.00178307	0.0018561	0.000424133	0.000424512	0.00010634	0	0.000424019	0	1.57423e-07	0.000317927	4.0144e-07	0.000848269	0.00148392	0.00307395	0.00249167	0.0063069
d3_15	0.00431632	0.0076945	0.00641727	0.00074369	0.000530621	0.000954351	0.000530847	3.23777e-08	4.41203e-08	0.000795443	0.000477523	0.000584165	5.05906e-08	0.000317927	0.000741841	0.00137839	0.00127261	0.00349846	0.00625355
d3_16	0.00744582	0.00364055	0.0048077	0.00233339	0.00132522	0.000106366	0.000317927	0.000371262	0.000106093	0.00105976	0.000901524	0.000106053	0.000106144	0.000847804	0.000424	0.00090171	0.002174	0.0026499	0.00413337
d3_17	0.00392813	0.00705381	0.00487779	0.00199435	0.00196139	0.000635853	0.000317927	0.000158963	0.000318364	0	0.000317927	0.000530256	0	0.000636077	0.000317927	0.000424064	0.000742151	0.00370948	0.00868999
d3_18	0.00379925	0.00498682	0.00411397	0.00238685	0.0008483	0.00079501	0.00116579	0.000509066	0.000954505	0.000635853	0.000105976	0	0.000317927	0.000741835	0	0.000741829	0.00111412	0.00418622	0.00900871
d3_19	0.00565415	0.00551472	0.00127338	0.00371034	0.00259888	0.000741878	0.000317927	0.000317927	0	0	0.000901512	0.00010631	0	0	0.000742155	0.000742099	0.00180177	0.00355052	0.00900811
d3_20	0.00393612	0.00943728	0.00524859	0.00540656	0.0036043	0.00158987	0.00127171	0.00148392	0.00137768	0	0.00190759	0.00111274	0.00222549	0.00127191	0.000317927	0.00127235	0.00212015	0.00953901	0.0170632
