	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0487072	0.0231178	0.0187428	0.0115592	0.0118191	0.00492162	0.00516904	0.00406194	0.00145503	0.0014179	0.0015827	0.00217758	0.000413008	0.000192674	0	0	0	0	0
d2_1	0.0117228	0.00924849	0.0135208	0.0123073	0.0133254	0.0120538	0.00908794	0.00653432	0.00379698	0.00384669	0.00220851	0.00292132	0.00272542	0.0021107	0.00115059	0.000287551	6.22014e-05	0.000383546	0.000766748	0.000287372
d2_2	0.00444038	0.00536795	0.00769988	0.0103392	0.00833607	0.0101691	0.00896721	0.00562614	0.00642272	0.00320504	0.00312006	0.00352717	0.00341867	0.00266732	0.00257969	0.0012951	9.71536e-05	0.000431654	0.000526848	0.000670824
d2_3	0.000707058	0.00151216	0.00328534	0.00614735	0.00516189	0.00620979	0.00625129	0.00807025	0.00472402	0.00465519	0.00465803	0.00385206	0.0042232	0.00301401	0.00316357	0.00139206	0.00139079	0.0023609	0.000958956	0.00172434
d2_4	0.000153163	0.00153662	0.000355744	0.00156445	0.00337397	0.00356734	0.00270734	0.00183998	0.00467199	0.00416505	0.00439955	0.0020655	0.00332426	0.00355045	0.00319479	0.00276104	0.00258807	0.0026833	0.00148569	0.00143771
d2_5	0.000110612	3.97806e-06	0.000943726	0.000339759	0.00175005	0.00187637	0.00274857	0.00294948	0.00186157	0.0035055	0.00229463	0.00418603	0.00351367	0.00415515	0.00492014	0.00215912	0.00359569	0.00254062	0.000959553	0.00249179
d2_6	0.000128397	0.000386774	0.000432381	4.09457e-07	0.000577117	0.000144493	0.00195115	0.000529839	0.00156964	0.00264872	0.00108633	0.00257181	0.00137519	0.00189847	0.00285934	0.00239786	0.0010543	0.00129387	0.00158107	0.00383316
d2_7	8.87505e-05	8.12241e-05	3.5125e-07	0.000192779	9.66311e-05	0.000970501	0.000624047	1.73871e-06	0.000575519	0.00067286	0.00110329	0.00143897	0.00151538	0.00268487	0.00132452	0.00122831	0.00161219	0.000862341	0.0010537	0.00316176
d2_8	2.97783e-05	5.15243e-05	2.38346e-07	3.13496e-07	9.74417e-05	9.68816e-05	0.000336193	0.000397921	9.5868e-05	0.000700564	0.00153419	0.000767791	0.000586115	0.000528122	0.000479084	0.00172542	0.00162901	0.00177417	0.00162897	0.00172525
d2_9	3.48328e-05	1.47972e-06	1.36503e-06	0.000144221	1.34251e-08	0.000288536	0.000287412	2.62244e-07	0.000481179	0	0.000287372	0.000384359	0.000576071	0.00057561	0.00076693	0.00019202	0.000575249	0.00158094	0.00143686	0.000575225
d2_10	0.000105761	0.000118241	7.74503e-08	3.21454e-08	0	0.000383162	0.000383732	0	0.000287377	1.27008e-07	4.22034e-07	0	9.57905e-05	0	0.000383703	0.000383173	0.000911687	0.000718832	0.00115005	0.00143686
d2_11	2.81212e-05	2.96499e-06	6.78867e-08	0	0.000144218	0	0	2.87137e-08	0	0.000144299	0.000460308	6.32284e-08	0.000431927	9.57905e-05	2.17608e-07	0	0.000575718	0	0.000287372	0.000574743
d2_12	2.08287e-05	1.0957e-06	4.81709e-05	0	9.59759e-05	0.000125254	1.77286e-08	0.000143686	0	8.9092e-09	0	0	1.36601e-08	0	9.63509e-05	0	5.611e-07	9.57905e-05	0.000287372	0.000287807
d2_13	2.79448e-05	3.28295e-06	6.40403e-08	8.14783e-10	1.10687e-07	0	0	0.000383205	0	0	0	0.000287372	0	0	0	0	9.63226e-05	7.28889e-08	0.000383242	0.000287372
d2_14	6.63306e-05	1.55159e-06	3.47293e-07	2.45998e-08	0	4.49019e-07	0	0	0.000287588	0	0	0.000383299	0	9.5867e-05	0	0	0	0	0	0
d2_15	1.72388e-05	1.49585e-06	2.33029e-07	4.65854e-09	0	1.51253e-08	0.000144333	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	0.000111659	9.80043e-05	0.000173284	2.02695e-08	7.73898e-05	0	0.0003833	1.78476e-08	0	0	0	0	0	0	0	0	0.000287372	0	0	0
d2_17	6.65548e-05	0.000146263	7.36855e-08	0.000431637	0.000143845	0	0	9.163e-08	0.000287474	0	0	2.35511e-08	0	7.7809e-05	0	0	0	0	0	0
d2_18	1.4512e-05	2.66093e-06	1.07319e-07	4.86088e-05	0	0	0	0	0	1.01187e-07	0	0	0	0	0	0	0	0	0	0
d2_19	9.26927e-05	3.09528e-06	6.47722e-07	0	6.35067e-08	0.000383734	0	0	0.000172644	0	0	0	0	0.000192708	0	0	0	0	0	0.000287372
d2_20	0.000394941	5.06484e-05	4.94096e-05	0	0	0	0	0.000287372	0	0	0	0	7.72611e-08	0	0	0	9.59472e-05	0	0	0
d2_21	1.17903e-05	1.03015e-06	1.18209e-07	1.74614e-07	5.53205e-08	1.22842e-08	5.19964e-08	4.85353e-05	0	0	0	0	0.000383162	0	0	0	0	0	0	0.000287372
d2_22	0.000445671	5.11186e-05	2.59601e-07	9.58138e-05	7.377e-07	0	9.58236e-05	0	0	0	0	9.64667e-05	0	0	0.000287372	0	0	0	0	0
d2_23	9.94303e-06	0.000128292	3.15983e-07	0	0	0	2.21321e-08	0	0	0	0	0	1.68332e-08	0	0	0	0	0	0	4.27577e-07
d2_24	6.34365e-05	1.95878e-06	9.67085e-05	0	1.61986e-07	0	4.85624e-05	0	4.78953e-05	9.66323e-05	0.000144267	0.000479524	0	0	0	9.57905e-05	0.000287372	0	0	0
d2_25	1.12907e-05	2.56413e-06	4.34126e-07	0.000383162	0	0	4.81206e-05	9.57905e-05	0	0	0	0	0	0.000287372	0	0	0	0	0	0
d2_26	3.33015e-05	3.07678e-06	4.69564e-09	1.34033e-07	0	0.000172445	0	2.89666e-05	0	0	0	0	0	0	0	0	0	0	0	0
d2_27	0.000225392	9.97247e-05	4.27749e-07	3.51452e-10	1.00143e-07	1.86769e-07	0	4.84432e-05	0.000287372	0	0	0.000383162	4.78953e-05	0	0	0	0	0	0	0
d2_28	0.00094319	0.000530143	4.27355e-07	0.000173641	0	0	4.84541e-05	0	0.000556126	0	0	1.45669e-07	0.000287372	0	0	0	0	0	0	0
d2_29	0.000813707	0.00043693	0.000387492	9.61059e-05	4.82513e-05	0	0	0	0	7.4631e-09	0	0	0	0	0	0	0	0	0	0
d2_30	0.00136726	0.000707475	1.99907e-06	0.000479852	5.10927e-07	4.78953e-05	0	0.000287372	0	0.000287372	0	0	0	0	0	0	0	0	0	0
d2_31	0.00323755	0.00231598	0.00108755	0.000767531	0.000317037	0.000287372	0.000143926	0.000191808	3.72887e-07	0	0	0.000383796	0	0.000287372	0.000287372	0	0	0	0	0
d2_32	0.00237094	0.00289361	0.00215294	0.00108433	0.000490837	0.000987109	0.00043161	0.000508779	0.000651414	0.000459795	0	0.000287575	1.09617e-07	0.000383162	0.000287453	0	0	0	0	0
d2_33	0.00483665	0.00271155	0.00237567	0.00140667	0.00180274	0.000556448	0.000383346	0.000747415	0.000431499	0.00148579	0.000287372	9.57905e-05	0.000383942	0.000383701	9.59862e-05	0	0	0	0	0
d2_34	0.00683177	0.00201388	0.0024402	0.00185309	0.00192874	0.00132409	0.00285674	0.000987749	0.00138938	0.0011506	0.00052699	0.000766451	0	0.000287372	0.000718646	8.76689e-08	0	0	0	0
d2_35	0.00749695	0.00383597	0.00349292	0.00217195	0.0030329	0.00291426	0.00257919	0.00137068	0.00196419	0.000719489	0.00158109	0.000958123	0.000575198	0.00100643	4.78953e-05	0.000287372	0	0.000383182	0.000287372	0
d2_36	0.007157	0.00285401	0.00311747	0.00436614	0.00206151	0.00402638	0.00216578	0.00311623	0.00282657	0.00225262	0.0028744	0.00162872	0.00158065	0.00210781	0.00110179	0.000862234	0	0.000383162	0	0
d2_37	0.00424603	0.0025273	0.00326843	0.00295466	0.00341414	0.00327057	0.00273052	0.00242508	0.00285626	0.00368882	0.0041003	0.00210788	0.000699357	0.00172474	0.00201176	0.00172427	0.000383381	1.29397e-07	0.000670534	0
d2_38	0.00375609	0.00195687	0.00231518	0.00207323	0.00123673	0.00341209	0.00329794	0.00292226	0.00381484	0.00360203	0.00359309	0.00234798	0.00390925	0.00373678	0.00340103	0.00249055	0.00268242	0.00124536	0.000670534	0.000287372
d2_39	0.0016453	0.00067995	0.000941892	0.000288238	0.00139099	0.00297311	0.00309618	0.00196518	0.00177297	0.00234808	0.00220417	0.00435903	0.00398716	0.00498201	0.00479007	0.00354441	0.00459836	0.00344878	0.00229898	0.00114949
d2_40	0.000873723	0.0006242	0.000623601	0	0.000460341	0.000957905	0.0012263	0.0022806	0.00156234	0.00148495	0.00138896	0.00182024	0.00330578	0.0044546	0.00507776	0.00699369	0.00445495	0.00483782	0.00277826	0.00258658
d2_41	7.93884e-05	2.96208e-05	0	0.000143686	0	0.00014422	0.000364277	0.00167648	0.00134107	0.000335267	0.000670705	0.00229921	0.00220318	0.00201194	0.00555615	0.00412	0.00785595	0.00804655	0.0134112	0.00287398
