	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.035917	0.00946661	0.00443004	0.00137914	0.00288254	0.00142237	0.00123453	0.000787323	0.000758002	0.00176189	0.000196854	0.000326673	0.00163178	0.000105448	0.000585713	0.000127968	0.00166267	0.000785432	0.00124213	0.000436719	0.000184236	0.000243603	0.000638244	0.00030394	3.84214e-05	0.00018227	0.000301313	0.000182094	0.000301909	0.000577386	0.000217544	0.00116438	0.000720365	0.00132094	0.00281926	0.00489468	0.00773506	0.00997847	0.00609292	0.00570831	0.00179887
d3_1	0.00771658	0.00605213	0.0014538	0.00220466	0.000799962	0.000124332	6.61537e-05	4.1847e-06	0.000125261	3.85381e-06	0.000483259	0.000423718	0.000664333	0.000124194	0.000783943	6.29726e-05	0.000542045	1.71236e-06	2.90486e-06	0.00102065	0.000121252	2.00943e-06	1.78824e-06	0.000180836	0.000480876	0.000361053	9.76532e-05	0.000540228	9.17996e-07	7.99772e-07	0.000217035	0.000120902	6.37943e-07	0.000240812	0.000840311	0.00345534	0.00375475	0.00537388	0.00641723	0.00971366	0.00491664	0.000120222
d3_2	0.00748289	0.00538071	0.0043414	0.00108525	0.000482215	3.5482e-06	0.000182682	2.11415e-06	2.10697e-06	0.00102124	6.236e-05	2.09908e-06	1.33332e-06	1.71491e-06	6.12181e-05	1.32904e-06	1.75724e-06	0.000601143	1.20857e-06	0.000121462	1.17405e-06	8.87911e-07	7.96538e-07	0.000181229	6.06845e-05	0.000600143	6.42789e-07	3.82033e-07	1.23936e-06	0.000240412	0.000816196	0.000636159	0.000576169	0.000539977	0.00239813	0.0025559	0.00359777	0.00717227	0.0069314	0.00521594	0.00281765	0.000839236
d3_3	0.0067923	0.00515727	0.00378612	0.00108364	0.000481448	0.000841022	0.000361791	1.09445e-06	0.000121328	1.80992e-06	1.55043e-06	1.85462e-06	1.88149e-06	1.75446e-06	0.00018116	1.67149e-06	0.000121335	9.6909e-07	1.11048e-06	6.15317e-05	8.7115e-07	5.86411e-07	0.000120922	0.000181142	5.22934e-07	0.000120224	4.61385e-07	6.09381e-05	5.37675e-07	0.00078092	6.60636e-07	0.000120589	0.000480047	0.000360029	0.00103141	0.000480136	0.004857	0.00675171	0.00273571	0.00329797	0.00317805	0.000659264
d3_4	0.00838425	0.00614978	0.00482015	0.00276193	0.00156239	0.000996675	0.000601372	0.000840563	1.14103e-06	7.26276e-07	0.00036071	4.36308e-07	1.09174e-06	6.3264e-07	9.24938e-07	0.000480303	0.000121253	9.09025e-07	2.8135e-07	7.9454e-07	0.000180736	6.08251e-05	5.71457e-07	3.64323e-07	0.000480472	6.05701e-05	6.27251e-07	8.88915e-07	3.96932e-07	0.000479739	5.86295e-07	0.000156564	5.33525e-07	0.00119907	0.00179899	0.00263882	0.00255499	0.00546903	0.00755498	0.00677349	0.00377709	0.00245796
d3_5	0.00583982	0.00643723	0.00429245	0.00156179	0.00114118	0.000600715	0.000157415	1.2549e-06	0.000181268	5.50987e-07	9.55317e-07	6.06936e-05	4.81785e-07	6.06106e-05	5.78766e-07	6.34115e-07	6.50779e-07	4.9125e-07	4.43604e-07	6.06699e-05	0.000120226	2.46779e-07	0.000300436	2.17201e-07	1.58834e-07	5.06411e-08	5.64954e-07	3.03354e-07	6.43578e-08	0.000120437	0.000180181	6.03733e-05	5.40353e-08	0.000539827	6.05629e-05	0.00233892	0.00539578	0.00245816	0.00575568	0.00251839	0.00143885	0.00257765
d3_6	0.00754282	0.00369859	0.00378434	0.00129947	0.00192088	0.000121664	0.000121053	4.39669e-07	7.33902e-07	2.67617e-07	2.84141e-07	5.13734e-07	3.91702e-07	3.69691e-07	2.23076e-07	1.52073e-07	3.22289e-07	3.62241e-07	6.28047e-07	3.44466e-07	0.000480152	2.60428e-07	9.67389e-05	0.000119969	1.67345e-07	3.10795e-07	2.35637e-07	6.05288e-05	0.000120361	1.55711e-07	5.53469e-07	1.26549e-07	0.000599642	0.000480059	0.00095973	0.00131928	0.00147588	0.00341749	0.00659474	0.00305742	0.00521643	0.000839267
d3_7	0.00672749	0.00326315	0.00535545	0.00281909	0.00120151	7.3939e-07	0.000479944	0.000720151	4.0389e-07	0.00047954	0.000120345	8.72468e-07	4.83514e-07	1.61224e-07	3.58463e-07	1.01571e-07	0.000479566	1.90479e-07	2.48195e-07	4.70259e-07	2.25189e-07	4.04111e-08	1.59957e-07	9.49172e-08	2.73137e-07	0.000599363	2.50998e-07	3.01046e-07	2.61807e-07	0.000119858	1.25391e-07	0.000240211	0.000180307	3.29004e-08	0.000599712	0.000300178	0.000780079	0.00231418	0.00443639	0.00413644	0.00371683	0.000839149
d3_8	0.00276067	0.00210003	0.00443068	0.00383955	0.00161971	0.000240726	0.000659812	1.22483e-07	0.000480047	0.000359647	3.31522e-07	7.87013e-08	5.51125e-08	1.24762e-07	0.000120226	2.99698e-07	5.71762e-08	1.36629e-07	3.10441e-07	1.11392e-07	1.20408e-07	3.16146e-07	0.000119932	2.88113e-07	1.8702e-07	4.81718e-08	3.07332e-07	2.60859e-08	1.75687e-07	0.000539557	0.000120314	0	1.37655e-07	7.16427e-08	0.000120205	0.000539868	0.00215838	0.00303353	0.00191826	0.00393181	0.00395572	0.00227765
d3_9	0.00394603	0.00739887	0.00327883	0.00465596	0.00271343	0.000480341	0.000599865	0.00101934	6.03831e-05	0.000659604	1.05519e-07	1.18728e-07	3.61729e-07	2.10217e-07	1.63681e-08	1.2675e-07	6.73981e-08	1.55325e-07	6.98707e-09	4.21971e-08	1.114e-07	3.43722e-09	9.41861e-08	3.04107e-07	8.36511e-08	0.00035964	0.000119945	1.77134e-07	0	1.73375e-07	0.000120089	6.06248e-08	0.000120011	0.00015621	0.000719353	0.000719295	0.00227772	0.00267407	0.00317712	0.00353644	0.00347641	0.0026966
d3_10	0.00340768	0.00438901	0.00515262	0.0047384	0.00179992	0.00113971	0.000359892	3.07849e-07	7.43448e-08	1.54325e-07	0.000180183	1.92498e-07	0.000839258	0.000359644	6.80607e-08	4.88439e-08	0	3.05151e-07	4.71779e-08	1.43774e-07	5.42042e-08	1.60116e-09	4.99061e-07	8.50374e-08	4.87268e-07	1.16531e-07	5.03569e-08	0.000120327	0.000611936	0.000898969	0.000239744	0	0.000120115	0	0	0.000359797	0.00107924	0.00137916	0.00383618	0.00345319	0.00263691	0.00215748
